"Set","Song","Date"
"Set 2","Ride Captain Ride",1987-03-23
"Set 2","Dave's Energy Guide",1987-03-23
"Set 2","Corinna",1987-03-23
"Set 2","Why Don't You Love Me?",1987-03-23
"Set 2","Camel Walk",1987-03-23
"Set 2","Golgi Apparatus",1987-03-23
"Set 2","Swing Low, Sweet Chariot",1987-03-23
"Set 1","Golgi Apparatus",1987-04-24
"Set 1","AC/DC Bag",1987-04-24
"Set 1","Possum",1987-04-24
"Set 1","Fluffhead",1987-04-24
"Set 1","You Enjoy Myself",1987-04-24
"Set 1","Dave's Energy Guide",1987-04-24
"Set 1","Punch Me in the Eye",1987-04-24
"Set 1","Alumni Blues",1987-04-24
"Set 1","Letter to Jimmy Page",1987-04-24
"Set 1","Alumni Blues",1987-04-24
"Set 1","I Am Hydrogen",1987-04-24
"Set 1","Who Do? We Do!",1987-04-24
"Set 1","David Bowie",1987-04-24
"Set 1","Dear Mrs. Reagan",1987-04-24
"Set 1","Slave to the Traffic Light",1987-04-24
"Set 1","She Caught the Katy and Left Me a Mule to Ride",1987-04-29
"Set 1","Alumni Blues",1987-04-29
"Set 1","Letter to Jimmy Page",1987-04-29
"Set 1","Alumni Blues",1987-04-29
"Set 1","Golgi Apparatus",1987-04-29
"Set 1","Swing Low, Sweet Chariot",1987-04-29
"Set 1","Fire",1987-04-29
"Set 1","Skin It Back",1987-04-29
"Set 1","Cities",1987-04-29
"Set 1","Lushington",1987-04-29
"Set 2","Dog Log",1987-04-29
"Set 2","Melt the Guns",1987-04-29
"Set 2","Dave's Energy Guide",1987-04-29
"Set 2","Take the 'A' Train",1987-04-29
"Set 2","Halley's Comet",1987-04-29
"Set 2","Quinn the Eskimo",1987-04-29
"Set 2","AC/DC Bag",1987-04-29
"Set 3","Peaches en Regalia",1987-04-29
"Set 3","Fluffhead",1987-04-29
"Set 3","Good Times Bad Times",1987-04-29
"Set 3","Anarchy",1987-04-29
"Set 3","Makisupa Policeman",1987-04-29
"Set 3","Run Like an Antelope",1987-04-29
"Set 3","Boogie On Reggae Woman",1987-04-29
"Set 3","Timber (Jerry The Mule)",1987-04-29
"Set 3","Slave to the Traffic Light",1987-04-29
"Set 3","Sparks",1987-04-29
"Set 3","McGrupp and the Watchful Hosemasters",1987-04-29
"Set 3","The Ballad of Curtis Loew",1987-04-29
"Set 3","Come On (Part One)",1987-04-29
"Set 3","I Am Hydrogen",1987-04-29
"Set 3","Who Do? We Do!",1987-04-29
"Encore","Fuck Your Face",1987-04-29
"Set 1","You Enjoy Myself",1987-05-11
"Set 1","Lushington",1987-05-11
"Set 1","Possum",1987-05-11
"Set 1","Slave to the Traffic Light",1987-05-11
"Set 1","Sneakin' Sally Through the Alley",1987-05-11
"Set 1","Clod",1987-05-11
"Set 1","Peaches en Regalia",1987-05-11
"Set 1","The Man Who Stepped Into Yesterday",1987-05-11
"Set 1","Avenu Malkenu",1987-05-11
"Set 1","The Man Who Stepped Into Yesterday",1987-05-11
"Set 1","Makisupa Policeman",1987-05-11
"Set 1","Ya Mar",1987-05-11
"Set 2","Divided Sky",1987-05-11
"Set 2","Funky Bitch",1987-05-11
"Set 2","Harpua",1987-05-11
"Set 2","Bundle of Joy",1987-05-11
"Set 2","Harpua",1987-05-11
"Set 2","Fluffhead",1987-05-11
"Set 2","Good Times Bad Times",1987-05-11
"Encore","Golgi Apparatus",1987-05-11
"Encore","Corinna",1987-05-11
"Encore","Letter to Jimmy Page",1987-05-11
"Set 1","Wilson",1987-05-20
"Set 1","Run Like an Antelope",1987-05-20
"Set 1","Golgi Apparatus",1987-05-20
"Set 1","Back Porch Boogie Blues",1987-05-20
"Set 1","Lushington",1987-05-20
"Set 1","Possum",1987-05-20
"Set 1","Harry Hood",1987-05-20
"Set 1","You Enjoy Myself",1987-05-20
"Set 1","Alumni Blues",1987-05-20
"Set 2","Fire",1987-05-20
"Set 1","Golgi Apparatus",1987-08-09
"Set 1","Slave to the Traffic Light",1987-08-09
"Set 1","La Grange",1987-08-09
"Set 1","Lushington",1987-08-09
"Set 1","Possum",1987-08-09
"Set 1","Sneakin' Sally Through the Alley",1987-08-09
"Set 1","Timber (Jerry The Mule)",1987-08-09
"Set 1","Good Times Bad Times",1987-08-09
"Set 1","AC/DC Bag",1987-08-09
"Set 1","Shaggy Dog",1987-08-09
"Set 1","Funky Bitch",1987-08-09
"Set 2","The Curtain With",1987-08-09
"Set 2","Halley's Comet",1987-08-09
"Set 2","The Sloth",1987-08-09
"Set 2","Light Up Or Leave Me Alone",1987-08-09
"Set 2","Skin It Back",1987-08-09
"Set 2","Peaches en Regalia",1987-08-09
"Set 2","Fluffhead",1987-08-09
"Set 2","Fee",1987-08-09
"Set 2","Harry Hood",1987-08-09
"Set 2","Harpua",1987-08-09
"Set 2","Suzy Greenberg",1987-08-09
"Set 3","David Bowie",1987-08-09
"Set 3","You Enjoy Myself",1987-08-09
"Set 3","Ya Mar",1987-08-09
"Set 3","Divided Sky",1987-08-09
"Set 3","Flat Fee",1987-08-09
"Set 3","McGrupp and the Watchful Hosemasters",1987-08-09
"Set 3","Corinna",1987-08-09
"Set 1","Peaches en Regalia",1987-08-10
"Set 1","Alumni Blues",1987-08-10
"Set 1","Letter to Jimmy Page",1987-08-10
"Set 1","Alumni Blues",1987-08-10
"Set 1","Golgi Apparatus",1987-08-10
"Set 1","Wilson",1987-08-10
"Set 1","Quinn the Eskimo",1987-08-10
"Set 1","Divided Sky",1987-08-10
"Set 1","Good Times Bad Times",1987-08-10
"Set 2","Fire",1987-08-10
"Set 2","AC/DC Bag",1987-08-10
"Set 2","Possum",1987-08-10
"Set 2","Fluffhead",1987-08-10
"Set 2","Fee",1987-08-10
"Set 2","The Curtain With",1987-08-10
"Set 2","I Know a Little",1987-08-10
"Set 2","Mustang Sally",1987-08-10
"Set 2","You Enjoy Myself",1987-08-10
"Set 2","La Grange",1987-08-10
"Set 3","Icculus",1987-08-10
"Set 3","David Bowie",1987-08-10
"Set 3","Jesus Just Left Chicago",1987-08-10
"Set 3","Whipping Post",1987-08-10
"Set 3","Anarchy",1987-08-10
"Set 3","Tush",1987-08-10
"Set 3","Dear Mrs. Reagan",1987-08-10
"Set 1","Dog Log",1987-08-21
"Set 1","Peaches en Regalia",1987-08-21
"Set 1","Divided Sky",1987-08-21
"Set 1","Funky Bitch",1987-08-21
"Set 1","Harry Hood",1987-08-21
"Set 1","Clod",1987-08-21
"Set 1","The Curtain With",1987-08-21
"Set 1","Light Up Or Leave Me Alone",1987-08-21
"Set 1","Shaggy Dog",1987-08-21
"Set 1","Wilson",1987-08-21
"Set 1","Camel Walk",1987-08-21
"Set 2","Mike's Song",1987-08-21
"Set 2","Hold Your Head Up",1987-08-21
"Set 2","Harpua",1987-08-21
"Set 2","Bundle of Joy",1987-08-21
"Set 2","Harpua",1987-08-21
"Set 2","Golgi Apparatus",1987-08-21
"Set 2","Sparks",1987-08-21
"Set 2","Flat Fee",1987-08-21
"Set 2","Fee",1987-08-21
"Set 2","Skin It Back",1987-08-21
"Set 2","Low Rider Jam",1987-08-21
"Set 2","Back Porch Boogie Blues",1987-08-21
"Set 2","The Sloth",1987-08-21
"Set 3","Big Black Furry Creature from Mars",1987-08-21
"Set 3","McGrupp and the Watchful Hosemasters",1987-08-21
"Set 3","Stir It Up Jam",1987-08-21
"Set 3","Makisupa Policeman Jam",1987-08-21
"Set 3","David Bowie",1987-08-21
"Set 3","Sanity",1987-08-21
"Set 3","Swing Low, Sweet Chariot",1987-08-21
"Set 1","Alumni Blues",1987-08-29
"Set 1","Letter to Jimmy Page",1987-08-29
"Set 1","Alumni Blues",1987-08-29
"Set 1","The Ballad of Curtis Loew",1987-08-29
"Set 1","Sneakin' Sally Through the Alley",1987-08-29
"Set 1","Makisupa Policeman",1987-08-29
"Set 1","Big Black Furry Creature from Mars",1987-08-29
"Set 1","Flat Fee",1987-08-29
"Set 1","Lushington",1987-08-29
"Set 1","Suzy Greenberg",1987-08-29
"Set 1","Hold Your Head Up",1987-08-29
"Set 1","Suzy Greenberg",1987-08-29
"Set 1","Mustang Sally",1987-08-29
"Set 1","Ya Mar",1987-08-29
"Set 1","The Man Who Stepped Into Yesterday",1987-08-29
"Set 1","Avenu Malkenu",1987-08-29
"Set 1","The Man Who Stepped Into Yesterday",1987-08-29
"Set 2","Clod",1987-08-29
"Set 2","Slave to the Traffic Light",1987-08-29
"Set 2","Swing Low, Sweet Chariot",1987-08-29
"Set 2","The Curtain With",1987-08-29
"Set 2","McGrupp and the Watchful Hosemasters",1987-08-29
"Set 2","Possum",1987-08-29
"Set 2","Harry Hood",1987-08-29
"Set 2","Timber (Jerry The Mule)",1987-08-29
"Set 2","AC/DC Bag",1987-08-29
"Set 2","Divided Sky",1987-08-29
"Set 2","Harpua",1987-08-29
"Set 2","Bundle of Joy",1987-08-29
"Set 2","Harpua",1987-08-29
"Set 3","La Grange",1987-08-29
"Set 3","Corinna",1987-08-29
"Set 3","Mike's Song",1987-08-29
"Set 3","I Am Hydrogen",1987-08-29
"Set 3","Who Do? We Do!",1987-08-29
"Set 3","Shaggy Dog",1987-08-29
"Set 3","David Bowie",1987-08-29
"Set 3","Jesus Just Left Chicago",1987-08-29
"Encore","She Caught the Katy and Left Me a Mule to Ride",1987-08-29
"Set 1","AC/DC Bag",1987-09-02
"Set 1","Fluffhead",1987-09-02
"Set 1","Sneakin' Sally Through the Alley",1987-09-02
"Set 1","Divided Sky",1987-09-02
"Set 1","Wilson",1987-09-02
"Set 1","David Bowie",1987-09-02
"Set 1","Lushington",1987-09-02
"Set 1","Possum",1987-09-02
"Set 1","Big Black Furry Creature from Mars",1987-09-02
"Set 1","Makisupa Policeman",1987-09-02
"Set 1","Timber (Jerry The Mule)",1987-09-02
"Set 1","Shaggy Dog",1987-09-02
"Set 1","You Enjoy Myself",1987-09-02
"Set 1","The Man Who Stepped Into Yesterday",1987-09-21
"Set 1","Avenu Malkenu",1987-09-21
"Set 1","The Man Who Stepped Into Yesterday",1987-09-21
"Set 1","Clod",1987-09-21
"Set 1","Slave to the Traffic Light",1987-09-21
"Set 1","Funky Bitch",1987-09-21
"Set 1","Wilson",1987-09-21
"Set 1","Dear Mrs. Reagan",1987-09-21
"Set 1","Golgi Apparatus",1987-09-21
"Set 1","AC/DC Bag",1987-09-21
"Set 1","Possum",1987-09-21
"Set 2","You Enjoy Myself",1987-09-21
"Set 2","The Curtain With",1987-09-21
"Set 2","Big Black Furry Creature from Mars",1987-09-21
"Set 2","Suzy Greenberg",1987-09-21
"Set 2","Alumni Blues",1987-09-21
"Set 2","Letter to Jimmy Page",1987-09-21
"Set 2","Alumni Blues",1987-09-21
"Set 3","Happy Birthday to You",1987-09-21
"Set 3","Good Times Bad Times",1987-09-21
"Set 3","Rocky Top",1987-09-21
"Set 3","Sneakin' Sally Through the Alley",1987-09-21
"Set 3","Fee",1987-09-21
"Set 3","Divided Sky",1987-09-21
"Set 3","Dog Log",1987-09-21
"Set 3","The Ballad of Curtis Loew",1987-09-21
"Set 3","Run Like an Antelope",1987-09-21
"Set 3","Makisupa Policeman",1987-09-21
"Set 3","Flat Fee",1987-09-21
"Set 3","Fire",1987-09-21
"Set 3","Terrapin",1987-09-21
"Set 3","La Grange",1987-09-21
"Set 3","Fluffhead",1987-09-21
"Set 1","Setlist unknown",1987-10-10
"Set 2","Prep School Hippie",1987-10-10
"Set 2","Divided Sky",1987-10-10
"Set 1","Peaches en Regalia",1987-10-14
"Set 1","Take the 'A' Train",1987-10-14
"Set 1","You Enjoy Myself",1987-10-14
"Set 1","Golgi Apparatus",1987-10-14
"Set 1","Slave to the Traffic Light",1987-10-14
"Set 1","The Chase",1987-10-14
"Set 1","Fluffhead",1987-10-14
"Set 1","Dave's Energy Guide",1987-10-14
