"Set","Song","Date"
"Set 1","Down with Disease",2009-05-31
"Set 1","Destiny Unbound",2009-05-31
"Set 1","Character Zero",2009-05-31
"Set 2","Tweezer",2009-05-31
"Set 2","Light",2009-05-31
"Set 2","Bathtub Gin",2009-05-31
"Set 2","David Bowie",2009-05-31
"Set 2","Time Turns Elastic",2009-05-31
"Set 2","Free",2009-05-31
"Set 2","The Ballad of Curtis Loew",2009-05-31
"Set 2","You Enjoy Myself",2009-05-31
"Encore","Cavern",2009-05-31
"Encore","Good Times Bad Times",2009-05-31
"Encore","Tweezer Reprise",2009-05-31
"Set 1","Runaway Jim",2009-06-02
"Set 1","Foam",2009-06-02
"Set 1","Stealing Time From the Faulty Plan",2009-06-02
"Set 1","Timber (Jerry The Mule)",2009-06-02
"Set 1","Cities",2009-06-02
"Set 1","Driver",2009-06-02
"Set 1","Reba",2009-06-02
"Set 1","Possum",2009-06-02
"Set 1","Farmhouse",2009-06-02
"Set 1","If I Could",2009-06-02
"Set 2","Mike's Song",2009-06-02
"Set 2","Simple",2009-06-02
"Set 2","Wolfman's Brother",2009-06-02
"Set 2","Weekapaug Groove",2009-06-02
"Set 2","When the Circus Comes",2009-06-02
"Set 2","Kill Devil Falls",2009-06-02
"Set 2","Harry Hood",2009-06-02
"Set 2","Loving Cup",2009-06-02
"Encore","Suzy Greenberg",2009-06-02
"Set 1","Grind",2009-06-04
"Set 1","Divided Sky",2009-06-04
"Set 1","Ocelot",2009-06-04
"Set 1","The Squirming Coil",2009-06-04
"Set 1","Punch You in the Eye",2009-06-04
"Set 1","Dirt",2009-06-04
"Set 1","NICU",2009-06-04
"Set 1","Ghost",2009-06-04
"Set 1","Run Like an Antelope",2009-06-04
"Set 2","Water in the Sky",2009-06-04
"Set 2","Birds of a Feather",2009-06-04
"Set 2","Drowned",2009-06-04
"Set 2","Meatstick",2009-06-04
"Set 2","Time Turns Elastic",2009-06-04
"Set 2","Waste",2009-06-04
"Set 2","You Enjoy Myself",2009-06-04
"Encore","Rock and Roll",2009-06-04
"Set 1","Wilson",2009-06-05
"Set 1","Buried Alive",2009-06-05
"Set 1","Kill Devil Falls",2009-06-05
"Set 1","AC/DC Bag",2009-06-05
"Set 1","I Didn't Know",2009-06-05
"Set 1","My Friend, My Friend",2009-06-05
"Set 1","Ya Mar",2009-06-05
"Set 1","Theme From the Bottom",2009-06-05
"Set 1","Boogie On Reggae Woman",2009-06-05
"Set 1","Split Open and Melt",2009-06-05
"Set 2","Down with Disease",2009-06-05
"Set 2","Twist",2009-06-05
"Set 2","Piper",2009-06-05
"Set 2","Backwards Down the Number Line",2009-06-05
"Set 2","Free",2009-06-05
"Set 2","Twenty Years Later",2009-06-05
"Set 2","Also Sprach Zarathustra",2009-06-05
"Set 2","Slave to the Traffic Light",2009-06-05
"Encore","A Day in the Life",2009-06-05
"Set 1","Stealing Time From the Faulty Plan",2009-06-06
"Set 1","Nothing",2009-06-06
"Set 1","Back on the Train",2009-06-06
"Set 1","Golgi Apparatus",2009-06-06
"Set 1","Sparkle",2009-06-06
"Set 1","Gotta Jibboo",2009-06-06
"Set 1","Lawn Boy",2009-06-06
"Set 1","Let Me Lie",2009-06-06
"Set 1","Taste",2009-06-06
"Set 1","Makisupa Policeman",2009-06-06
"Set 1","Prince Caspian",2009-06-06
"Set 2","Seven Below",2009-06-06
"Set 2","Fluffhead",2009-06-06
"Set 2","Scent of a Mule",2009-06-06
"Set 2","Heavy Things",2009-06-06
"Set 2","Harry Hood",2009-06-06
"Set 2","Possum",2009-06-06
"Set 2","Bug",2009-06-06
"Encore","Contact",2009-06-06
"Encore","Julius",2009-06-06
"Set 1","Chalk Dust Torture",2009-06-07
"Set 1","Fee",2009-06-07
"Set 1","Wolfman's Brother",2009-06-07
"Set 1","Guyute",2009-06-07
"Set 1","My Sweet One",2009-06-07
"Set 1","46 Days",2009-06-07
"Set 1","The Lizards",2009-06-07
"Set 1","The Wedge",2009-06-07
"Set 1","Strange Design",2009-06-07
"Set 1","Tube",2009-06-07
"Set 1","First Tube",2009-06-07
"Set 2","Sand",2009-06-07
"Set 2","Suzy Greenberg",2009-06-07
"Set 2","Limb By Limb",2009-06-07
"Set 2","The Horse",2009-06-07
"Set 2","Silent in the Morning",2009-06-07
"Set 2","Sugar Shack",2009-06-07
"Set 2","Character Zero",2009-06-07
"Set 2","Tweezer",2009-06-07
"Encore","Joy",2009-06-07
"Encore","Bouncing Around the Room",2009-06-07
"Encore","Run Like an Antelope",2009-06-07
"Encore","Tweezer Reprise",2009-06-07
"Set 1","Kill Devil Falls",2009-06-09
"Set 1","The Moma Dance",2009-06-09
"Set 1","Sample in a Jar",2009-06-09
"Set 1","Stash",2009-06-09
"Set 1","Dog Faced Boy",2009-06-09
"Set 1","Gumbo",2009-06-09
"Set 1","Tube",2009-06-09
"Set 1","Lengthwise",2009-06-09
"Set 1","Divided Sky",2009-06-09
"Set 1","When the Cactus is in Bloom",2009-06-09
"Set 1","Bold As Love",2009-06-09
"Set 2","Backwards Down the Number Line",2009-06-09
"Set 2","Ghost",2009-06-09
"Set 2","Fast Enough for You",2009-06-09
"Set 2","Halley's Comet",2009-06-09
"Set 2","Maze",2009-06-09
"Set 2","Alaska",2009-06-09
"Set 2","Theme From the Bottom",2009-06-09
"Set 2","Golgi Apparatus",2009-06-09
"Set 2","Possum",2009-06-09
"Encore","Loving Cup",2009-06-09
"Set 1","Runaway Jim",2009-06-10
"Set 1","Punch You in the Eye",2009-06-10
"Set 1","Ocelot",2009-06-10
"Set 1","Foam",2009-06-10
"Set 1","Train Song",2009-06-10
"Set 1","Undermind",2009-06-10
"Set 1","Mike's Song",2009-06-10
"Set 1","I Am Hydrogen",2009-06-10
"Set 1","Weekapaug Groove",2009-06-10
"Set 1","The Squirming Coil",2009-06-10
"Set 1","Character Zero",2009-06-10
"Set 2","Back on the Train",2009-06-10
"Set 2","Waves",2009-06-10
"Set 2","A Song I Heard the Ocean Sing",2009-06-10
"Set 2","David Bowie",2009-06-10
"Set 2","Army of One",2009-06-10
"Set 2","Reba",2009-06-10
"Set 2","Hello My Baby",2009-06-10
"Set 2","Julius",2009-06-10
"Set 2","Cavern",2009-06-10
"Set 2","Harry Hood",2009-06-10
"Encore","Frankenstein",2009-06-10
"Set 1","Set 1",2009-06-11
"Set 1","Chalk Dust Torture",2009-06-12
"Set 1","Stealing Time From the Faulty Plan",2009-06-12
"Set 1","Divided Sky",2009-06-12
"Set 1","Possum",2009-06-12
"Set 1","Down with Disease",2009-06-12
"Set 1","Alaska",2009-06-12
"Set 1","Stash",2009-06-12
"Set 1","Golgi Apparatus",2009-06-12
"Set 1","Wolfman's Brother",2009-06-12
"Set 1","Poor Heart",2009-06-12
"Set 1","Kill Devil Falls",2009-06-12
"Set 1","Free",2009-06-12
"Set 1","Wading in the Velvet Sea",2009-06-12
"Set 1","Harry Hood",2009-06-12
"Set 1","Highway to Hell",2009-06-12
"Set 1","Also Sprach Zarathustra",2009-06-12
"Set 1","You Enjoy Myself",2009-06-12
"Set 1","Wilson",2009-06-12
"Set 1","You Enjoy Myself",2009-06-12
"Encore","A Day in the Life",2009-06-12
"Set 1","AC/DC Bag",2009-06-14
"Set 1","NICU",2009-06-14
"Set 1","Gotta Jibboo",2009-06-14
"Set 1","Punch You in the Eye",2009-06-14
"Set 1","Sparkle",2009-06-14
"Set 1","Bathtub Gin",2009-06-14
"Set 1","Character Zero",2009-06-14
"Set 1","Tweezer",2009-06-14
"Set 1","The Horse",2009-06-14
"Set 1","Silent in the Morning",2009-06-14
"Set 1","Run Like an Antelope",2009-06-14
"Set 1","Mustang Sally",2009-06-14
"Set 1","Bobby Jean",2009-06-14
"Set 1","Glory Days",2009-06-14
"Set 2","Rock and Roll",2009-06-14
"Set 2","Light",2009-06-14
"Set 2","46 Days",2009-06-14
"Set 2","Limb By Limb",2009-06-14
"Set 2","Farmhouse",2009-06-14
"Set 2","Backwards Down the Number Line",2009-06-14
"Set 2","Prince Caspian",2009-06-14
"Set 2","First Tube",2009-06-14
"Encore","Suzy Greenberg",2009-06-14
"Encore","Tweezer Reprise",2009-06-14
"Set 1","Kill Devil Falls",2009-06-16
"Set 1","Ocelot",2009-06-16
"Set 1","Brian and Robert",2009-06-16
"Set 1","Sample in a Jar",2009-06-16
"Set 1","Rift",2009-06-16
"Set 1","Ya Mar",2009-06-16
"Set 1","Reba",2009-06-16
"Set 1","Train Song",2009-06-16
"Set 1","Horn",2009-06-16
"Set 1","Possum",2009-06-16
"Set 1","Slave to the Traffic Light",2009-06-16
"Set 2","Halley's Comet",2009-06-16
"Set 2","Runaway Jim",2009-06-16
"Set 2","Frankie Says",2009-06-16
"Set 2","Time Turns Elastic",2009-06-16
"Set 2","Sleep",2009-06-16
"Set 2","Mike's Song",2009-06-16
"Set 2","I Am Hydrogen",2009-06-16
"Set 2","Weekapaug Groove",2009-06-16
"Set 2","Boogie On Reggae Woman",2009-06-16
"Set 2","Character Zero",2009-06-16
"Encore","The Star Spangled Banner",2009-06-16
"Encore","McGrupp and the Watchful Hosemasters",2009-06-16
"Encore","While My Guitar Gently Weeps",2009-06-16
"Set 1","Golgi Apparatus",2009-06-18
"Set 1","Chalk Dust Torture",2009-06-18
"Set 1","Bouncing Around the Room",2009-06-18
"Set 1","Wolfman's Brother",2009-06-18
"Set 1","Divided Sky",2009-06-18
"Set 1","Heavy Things",2009-06-18
"Set 1","Walk Away",2009-06-18
"Set 1","Wilson",2009-06-18
"Set 1","Tube",2009-06-18
"Set 1","Alaska",2009-06-18
"Set 1","David Bowie",2009-06-18
"Set 2","Down with Disease",2009-06-18
"Set 2","Free",2009-06-18
"Set 2","Guyute",2009-06-18
"Set 2","Piper",2009-06-18
"Set 2","When the Circus Comes",2009-06-18
"Set 2","Harry Hood",2009-06-18
"Set 2","The Squirming Coil",2009-06-18
"Set 2","You Enjoy Myself",2009-06-18
"Encore","Grind",2009-06-18
"Encore","Hello My Baby",2009-06-18
"Encore","Hold Your Head Up",2009-06-18
"Encore","Bike",2009-06-18
"Encore","Hold Your Head Up",2009-06-18
"Encore","Loving Cup",2009-06-18
"Set 1","Backwards Down the Number Line",2009-06-19
"Set 1","AC/DC Bag",2009-06-19
"Set 1","Limb By Limb",2009-06-19
"Set 1","The Moma Dance",2009-06-19
"Set 1","Water in the Sky",2009-06-19
"Set 1","Split Open and Melt",2009-06-19
"Set 1","Lawn Boy",2009-06-19
"Set 1","The Wedge",2009-06-19
"Set 1","Stealing Time From the Faulty Plan",2009-06-19
"Set 1","The Connection",2009-06-19
"Set 1","Ocelot",2009-06-19
"Set 1","Fluffhead",2009-06-19
"Set 2","A Song I Heard the Ocean Sing",2009-06-19
"Set 2","Drowned",2009-06-19
"Set 2","Twist",2009-06-19
"Set 2","Let Me Lie",2009-06-19
"Set 2","Tweezer",2009-06-19
"Set 2","Also Sprach Zarathustra",2009-06-19
"Set 2","Suzy Greenberg",2009-06-19
"Set 2","Possum",2009-06-19
"Encore","Sleeping Monkey",2009-06-19
"Encore","Tweezer Reprise",2009-06-19
"Set 1","Punch You in the Eye",2009-06-20
"Set 1","Runaway Jim",2009-06-20
"Set 1","Stash",2009-06-20
"Set 1","Ya Mar",2009-06-20
"Set 1","Bathtub Gin",2009-06-20
"Set 1","Kill Devil Falls",2009-06-20
"Set 1","Train Song",2009-06-20
"Set 1","Farmhouse",2009-06-20
"Set 1","Sparkle",2009-06-20
"Set 1","Run Like an Antelope",2009-06-20
"Set 2","Waves",2009-06-20
"Set 2","Sample in a Jar",2009-06-20
"Set 2","Maze",2009-06-20
"Set 2","Makisupa Policeman",2009-06-20
"Set 2","Ghost",2009-06-20
"Set 2","The Lizards",2009-06-20
"Set 2","You Enjoy Myself",2009-06-20
"Set 2","NICU",2009-06-20
"Set 2","Prince Caspian",2009-06-20
"Set 2","Waste",2009-06-20
"Set 2","Fire",2009-06-20
"Encore","Character Zero",2009-06-20
"Set 1","Brother",2009-06-21
"Set 1","Wolfman's Brother",2009-06-21
"Set 1","Funky Bitch",2009-06-21
"Set 1","Divided Sky",2009-06-21
"Set 1","Joy",2009-06-21
"Set 1","Back on the Train",2009-06-21
"Set 1","Taste",2009-06-21
"Set 1","Poor Heart",2009-06-21
"Set 1","The Horse",2009-06-21
"Set 1","Silent in the Morning",2009-06-21
"Set 1","The Man Who Stepped Into Yesterday",2009-06-21
"Set 1","Avenu Malkenu",2009-06-21
"Set 1","The Man Who Stepped Into Yesterday",2009-06-21
"Set 1","Time Turns Elastic",2009-06-21
"Set 2","Crosseyed and Painless",2009-06-21
"Set 2","Down with Disease",2009-06-21
"Set 2","Bug",2009-06-21
"Set 2","Piper",2009-06-21
"Set 2","Wading in the Velvet Sea",2009-06-21
"Set 2","Boogie On Reggae Woman",2009-06-21
"Set 2","Slave to the Traffic Light",2009-06-21
"Encore","Grind",2009-06-21
"Encore","Frankenstein",2009-06-21
"Set 1","Divided Sky",2009-07-30
"Set 1","Ocelot",2009-07-30
"Set 1","The Wedge",2009-07-30
"Set 1","Poor Heart",2009-07-30
"Set 1","The Moma Dance",2009-07-30
"Set 1","Horn",2009-07-30
"Set 1","Stash",2009-07-30
"Set 1","The Horse",2009-07-30
"Set 1","Silent in the Morning",2009-07-30
"Set 1","Possum",2009-07-30
"Set 2","Mike's Song",2009-07-30
"Set 2","I Am Hydrogen",2009-07-30
"Set 2","Weekapaug Groove",2009-07-30
"Set 2","Ghost",2009-07-30
"Set 2","Wolfman's Brother",2009-07-30
"Set 2","Limb By Limb",2009-07-30
"Set 2","Billy Breathes",2009-07-30
"Set 2","The Squirming Coil",2009-07-30
"Set 2","David Bowie",2009-07-30
"Encore","Loving Cup",2009-07-30
"Set 1","Runaway Jim",2009-07-31
"Set 1","Chalk Dust Torture",2009-07-31
"Set 1","Bathtub Gin",2009-07-31
"Set 1","Time Turns Elastic",2009-07-31
"Set 1","Lawn Boy",2009-07-31
"Set 1","Water in the Sky",2009-07-31
"Set 1","Stealing Time From the Faulty Plan",2009-07-31
"Set 1","Split Open and Melt",2009-07-31
"Set 2","Drowned",2009-07-31
"Set 2","Crosseyed and Painless",2009-07-31
"Set 2","Joy",2009-07-31
"Set 2","Tweezer",2009-07-31
"Set 2","Backwards Down the Number Line",2009-07-31
"Set 2","Fluffhead",2009-07-31
"Set 2","Piper",2009-07-31
"Set 2","A Day in the Life",2009-07-31
"Encore","Suzy Greenberg",2009-07-31
"Encore","Tweezer Reprise",2009-07-31
"Set 1","AC/DC Bag",2009-08-01
"Set 1","The Curtain With",2009-08-01
"Set 1","Mound",2009-08-01
"Set 1","Gotta Jibboo",2009-08-01
"Set 1","Guyute",2009-08-01
"Set 1","Punch You in the Eye",2009-08-01
"Set 1","Tube",2009-08-01
"Set 1","Alaska",2009-08-01
"Set 1","Run Like an Antelope",2009-08-01
"Set 2","Rock and Roll",2009-08-01
"Set 2","Down with Disease",2009-08-01
"Set 2","Free",2009-08-01
"Set 2","Esther",2009-08-01
"Set 2","Dirt",2009-08-01
"Set 2","Harry Hood",2009-08-01
"Encore","Sleeping Monkey",2009-08-01
"Encore","First Tube",2009-08-01
"Set 1","Roses Are Free",2009-08-02
"Set 1","Wilson",2009-08-02
"Set 1","NICU",2009-08-02
"Set 1","Prince Caspian",2009-08-02
"Set 1","Back on the Train",2009-08-02
"Set 1","Reba",2009-08-02
"Set 1","Grind",2009-08-02
"Set 1","Beauty of a Broken Heart",2009-08-02
"Set 1","Sample in a Jar",2009-08-02
"Set 1","Sugar Shack",2009-08-02
"Set 1","Waste",2009-08-02
"Set 1","Kill Devil Falls",2009-08-02
"Set 2","Boogie On Reggae Woman",2009-08-02
"Set 2","You Enjoy Myself",2009-08-02
"Set 2","Undermind",2009-08-02
"Set 2","Drums",2009-08-02
"Set 2","Seven Below",2009-08-02
"Set 2","Also Sprach Zarathustra",2009-08-02
"Set 2","Waves",2009-08-02
"Set 2","Character Zero",2009-08-02
"Encore","Bittersweet Motel",2009-08-02
"Encore","Bouncing Around the Room",2009-08-02
"Encore","Slave to the Traffic Light",2009-08-02
"Set 1","Golgi Apparatus",2009-08-05
"Set 1","Halley's Comet",2009-08-05
"Set 1","Chalk Dust Torture",2009-08-05
"Set 1","Divided Sky",2009-08-05
"Set 1","When the Circus Comes",2009-08-05
"Set 1","Time Turns Elastic",2009-08-05
"Set 1","Ya Mar",2009-08-05
"Set 1","Stealing Time From the Faulty Plan",2009-08-05
"Set 1","Suzy Greenberg",2009-08-05
"Set 1","David Bowie",2009-08-05
"Set 2","Backwards Down the Number Line",2009-08-05
"Set 2","Down with Disease",2009-08-05
"Set 2","Limb By Limb",2009-08-05
"Set 2","Oh! Sweet Nuthin'",2009-08-05
"Set 2","Cities",2009-08-05
"Set 2","Maze",2009-08-05
"Set 2","Mike's Song",2009-08-05
"Set 2","Simple",2009-08-05
"Set 2","Weekapaug Groove",2009-08-05
"Encore","Let Me Lie",2009-08-05
"Encore","Bold As Love",2009-08-05
"Set 1","Down with Disease",2009-08-07
"Set 1","Ocelot",2009-08-07
"Set 1","Pebbles and Marbles",2009-08-07
"Set 1","Possum",2009-08-07
"Set 1","Sleep",2009-08-07
"Set 1","Destiny Unbound",2009-08-07
"Set 1","Stash",2009-08-07
"Set 1","Sneakin' Sally Through the Alley",2009-08-07
"Set 1","Cavern",2009-08-07
"Set 2","The Moma Dance",2009-08-07
"Set 2","Light",2009-08-07
"Set 2","Taste",2009-08-07
"Set 2","Fluffhead",2009-08-07
"Set 2","Joy",2009-08-07
"Set 2","Bathtub Gin",2009-08-07
"Set 2","Harry Hood",2009-08-07
"Encore","Slave to the Traffic Light",2009-08-07
"Set 1","The Mango Song",2009-08-08
"Set 1","Chalk Dust Torture",2009-08-08
"Set 1","Middle of the Road",2009-08-08
"Set 1","Tweezer",2009-08-08
"Set 1","Driver",2009-08-08
"Set 1","Twenty Years Later",2009-08-08
"Set 1","Ya Mar",2009-08-08
"Set 1","It's Ice",2009-08-08
"Set 1","Wolfman's Brother",2009-08-08
"Set 1","Character Zero",2009-08-08
"Set 1","Run Like an Antelope",2009-08-08
"Set 2","Rock and Roll",2009-08-08
"Set 2","Makisupa Policeman",2009-08-08
"Set 2","Alaska",2009-08-08
"Set 2","The Wedge",2009-08-08
"Set 2","You Enjoy Myself",2009-08-08
"Set 2","Backwards Down the Number Line",2009-08-08
"Set 2","Piper",2009-08-08
"Set 2","Grind",2009-08-08
"Encore","Good Times Bad Times",2009-08-08
"Encore","Tweezer Reprise",2009-08-08
"Set 1","Kill Devil Falls",2009-08-11
"Set 1","Sample in a Jar",2009-08-11
"Set 1","Ocelot",2009-08-11
"Set 1","Paul and Silas",2009-08-11
"Set 1","Windy City",2009-08-11
"Set 1","The Curtain With",2009-08-11
"Set 1","Train Song",2009-08-11
"Set 1","Gumbo",2009-08-11
"Set 1","Heavy Things",2009-08-11
"Set 1","Time Turns Elastic",2009-08-11
"Set 2","Backwards Down the Number Line",2009-08-11
"Set 2","Carini",2009-08-11
"Set 2","Gotta Jibboo",2009-08-11
"Set 2","Theme From the Bottom",2009-08-11
"Set 2","Wilson",2009-08-11
"Set 2","Also Sprach Zarathustra",2009-08-11
"Set 2","Chalk Dust Torture",2009-08-11
"Set 2","Harry Hood",2009-08-11
"Set 2","The Squirming Coil",2009-08-11
"Encore","Loving Cup",2009-08-11
"Set 1","Sample in a Jar",2009-08-13
"Set 1","Dinner and a Movie",2009-08-13
"Set 1","Wolfman's Brother",2009-08-13
"Set 1","My Friend, My Friend",2009-08-13
"Set 1","Possum",2009-08-13
"Set 1","Farmhouse",2009-08-13
"Set 1","Sugar Shack",2009-08-13
"Set 1","Brian and Robert",2009-08-13
"Set 1","David Bowie",2009-08-13
"Set 1","Bathtub Gin",2009-08-13
"Set 1","How High the Moon",2009-08-13
"Set 1","Golgi Apparatus",2009-08-13
"Set 2","Drowned",2009-08-13
"Set 2","Prince Caspian",2009-08-13
"Set 2","Rift",2009-08-13
"Set 2","The Horse",2009-08-13
"Set 2","Silent in the Morning",2009-08-13
"Set 2","Sparkle",2009-08-13
"Set 2","Run Like an Antelope",2009-08-13
"Set 2","Suzy Greenberg",2009-08-13
"Set 2","Fluffhead",2009-08-13
"Encore","Joy",2009-08-13
"Encore","First Tube",2009-08-13
"Set 1","Punch You in the Eye",2009-08-14
"Set 1","AC/DC Bag",2009-08-14
"Set 1","NICU",2009-08-14
"Set 1","Colonel Forbin's Ascent",2009-08-14
"Set 1","Fly Famous Mockingbird",2009-08-14
"Set 1","Birds of a Feather",2009-08-14
"Set 1","Lawn Boy",2009-08-14
"Set 1","Stash",2009-08-14
"Set 1","I Didn't Know",2009-08-14
"Set 1","Middle of the Road",2009-08-14
"Set 1","Character Zero",2009-08-14
"Set 2","Down with Disease",2009-08-14
"Set 2","Wilson",2009-08-14
"Set 2","Slave to the Traffic Light",2009-08-14
"Set 2","Piper",2009-08-14
"Set 2","Water in the Sky",2009-08-14
"Set 2","Ghost",2009-08-14
"Set 2","Psycho Killer",2009-08-14
"Set 2","Catapult",2009-08-14
"Set 2","Icculus",2009-08-14
"Set 2","You Enjoy Myself",2009-08-14
"Encore","While My Guitar Gently Weeps",2009-08-14
"Set 1","Crowd Control",2009-08-15
"Set 1","Kill Devil Falls",2009-08-15
"Set 1","The Sloth",2009-08-15
"Set 1","Beauty of a Broken Heart",2009-08-15
"Set 1","Axilla",2009-08-15
"Set 1","Foam",2009-08-15
"Set 1","Esther",2009-08-15
"Set 1","Ha Ha Ha",2009-08-15
"Set 1","Party Time",2009-08-15
"Set 1","Tube",2009-08-15
"Set 1","Stealing Time From the Faulty Plan",2009-08-15
"Set 1","Strange Design",2009-08-15
"Set 1","Time Turns Elastic",2009-08-15
"Set 2","Tweezer",2009-08-15
"Set 2","Taste",2009-08-15
"Set 2","Alaska",2009-08-15
"Set 2","Let Me Lie",2009-08-15
"Set 2","46 Days",2009-08-15
"Set 2","Oh! Sweet Nuthin'",2009-08-15
"Set 2","Harry Hood",2009-08-15
"Encore","Good Times Bad Times",2009-08-15
"Encore","Tweezer Reprise",2009-08-15
"Set 1","Llama",2009-08-16
"Set 1","The Moma Dance",2009-08-16
"Set 1","Guyute",2009-08-16
"Set 1","Anything But Me",2009-08-16
"Set 1","Cars Trucks Buses",2009-08-16
"Set 1","Chalk Dust Torture",2009-08-16
"Set 1","Golgi Apparatus",2009-08-16
"Set 1","David Bowie",2009-08-16
"Set 1","Cavern",2009-08-16
"Set 1","Possum",2009-08-16
"Set 1","Ocelot",2009-08-16
"Set 1","Run Like an Antelope",2009-08-16
"Set 2","Backwards Down the Number Line",2009-08-16
"Set 2","Twenty Years Later",2009-08-16
"Set 2","Halley's Comet",2009-08-16
"Set 2","Rock and Roll",2009-08-16
"Set 2","Harpua",2009-08-16
"Set 2","I Kissed a Girl",2009-08-16
"Set 2","Hold Your Head Up",2009-08-16
"Set 2","Harpua",2009-08-16
"Set 2","You Enjoy Myself",2009-08-16
"Encore","Grind",2009-08-16
"Encore","I Been Around",2009-08-16
"Encore","Highway to Hell",2009-08-16
"Set 1","Water in the Sky",2009-10-29
"Set 1","Sleep Again",2009-10-29
"Set 1","Let Me Lie",2009-10-29
"Set 1","Invisible",2009-10-29
"Set 1","Back on the Train",2009-10-29
"Set 1","Driver",2009-10-29
"Set 2","Jam",2009-10-29
"Set 2","Undermind",2009-10-29
"Set 2","Gone",2009-10-29
"Set 2","Liquid Time",2009-10-29
"Set 1","Party Time",2009-10-30
"Set 1","Chalk Dust Torture",2009-10-30
"Set 1","The Moma Dance",2009-10-30
"Set 1","NICU",2009-10-30
"Set 1","Stealing Time From the Faulty Plan",2009-10-30
"Set 1","Stash",2009-10-30
"Set 1","I Didn't Know",2009-10-30
"Set 1","Poor Heart",2009-10-30
"Set 1","Cavern",2009-10-30
"Set 1","Beauty of a Broken Heart",2009-10-30
