correct,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/batch_size,config/hidden_layers,config/hidden_nodes,config/learning_rate,config/sequence_length,logdir
2.9130434782608696,12.60735297203064,False,,,10,9bb87373117744e2aac4b55b32900db7,2021-02-04_18-13-43,1612484023,132.75576424598694,5472,DESKTOP-702HOAM,192.168.0.81,132.75576424598694,0,10,6237612e,8,1,32,0.1184706576544411,10,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_6237612e_11_batch_size=8,hidden_layers=1,hidden_nodes=32,learning_rate=0.11847,sequence_length=10_2021-02-04_18-11-24"
3.4130434782608696,12.824991226196287,False,,,10,003ac8bfe8224bc2854d094bf47222d8,2021-02-04_18-16-02,1612484162,132.8803379535675,14788,DESKTOP-702HOAM,192.168.0.81,132.8803379535675,0,10,aef7c301,4,2,128,0.05659118251885938,150,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_aef7c301_12_batch_size=4,hidden_layers=2,hidden_nodes=128,learning_rate=0.056591,sequence_length=150_2021-02-04_18-13-43"
3.4782608695652173,14.015853643417358,False,,,10,1795de7c74944fac9ce961a6d99871e4,2021-02-04_18-18-37,1612484317,148.6279842853546,4160,DESKTOP-702HOAM,192.168.0.81,148.6279842853546,0,10,01c3eac9,16,2,128,0.11217939899017057,50,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_01c3eac9_13_batch_size=16,hidden_layers=2,hidden_nodes=128,learning_rate=0.11218,sequence_length=50_2021-02-04_18-16-02"
3.0217391304347827,11.832374572753906,False,,,10,1021105714044b60a949bf3a180b22e8,2021-02-04_18-20-49,1612484449,126.82776498794556,2424,DESKTOP-702HOAM,192.168.0.81,126.82776498794556,0,10,549cd9a7,16,1,128,0.08414266082733914,150,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_549cd9a7_14_batch_size=16,hidden_layers=1,hidden_nodes=128,learning_rate=0.084143,sequence_length=150_2021-02-04_18-18-37"
3.4130434782608696,11.712430715560911,False,,,10,fa5cc1c6619144dfbdc22274a6340cdd,2021-02-04_18-22-57,1612484577,121.06772112846376,14400,DESKTOP-702HOAM,192.168.0.81,121.06772112846376,0,10,b0d25c24,16,1,64,0.06544427007468284,200,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_b0d25c24_15_batch_size=16,hidden_layers=1,hidden_nodes=64,learning_rate=0.065444,sequence_length=200_2021-02-04_18-20-50"
3.065217391304348,12.77064323425293,False,,,10,7fe91590e2ab443196ad146dfbcdac22,2021-02-04_18-25-14,1612484714,131.59176874160767,8572,DESKTOP-702HOAM,192.168.0.81,131.59176874160767,0,10,000b54ac,4,2,32,0.10229984933068767,200,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_000b54ac_16_batch_size=4,hidden_layers=2,hidden_nodes=32,learning_rate=0.1023,sequence_length=200_2021-02-04_18-22-57"
3.347826086956522,11.965574741363524,False,,,10,0dc1c30462564657a7e18387f390e59d,2021-02-04_18-27-26,1612484846,125.47594666481018,4896,DESKTOP-702HOAM,192.168.0.81,125.47594666481018,0,10,4bce51e3,16,1,128,0.08861503024439278,100,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_4bce51e3_17_batch_size=16,hidden_layers=1,hidden_nodes=128,learning_rate=0.088615,sequence_length=100_2021-02-04_18-25-14"
3.652173913043478,12.636475801467896,False,,,10,13bb372f1dfa4c8e844168b5b7b7fbfc,2021-02-04_18-29-43,1612484983,131.15101051330566,14004,DESKTOP-702HOAM,192.168.0.81,131.15101051330566,0,10,9dc82217,8,1,32,0.05231506606489843,10,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_9dc82217_18_batch_size=8,hidden_layers=1,hidden_nodes=32,learning_rate=0.052315,sequence_length=10_2021-02-04_18-27-26"
3.3260869565217392,14.383684635162354,False,,,10,5d4a1493be9c45ae876569584e8616f7,2021-02-04_18-32-17,1612485137,148.562570810318,12260,DESKTOP-702HOAM,192.168.0.81,148.562570810318,0,10,ec26d9b1,8,2,32,0.11324431549080363,10,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_ec26d9b1_19_batch_size=8,hidden_layers=2,hidden_nodes=32,learning_rate=0.11324,sequence_length=10_2021-02-04_18-29-43"
3.152173913043478,115.21770811080933,False,,,10,80446011a94041b8a25a9c89671652c5,2021-02-04_18-36-43,1612485403,259.3948941230774,5448,DESKTOP-702HOAM,192.168.0.81,259.3948941230774,0,10,3de2068c,4,1,64,0.11182337978735027,25,"C:\Users\rober\ray_results\_inner_2021-02-04_17-48-22\_inner_3de2068c_20_batch_size=4,hidden_layers=1,hidden_nodes=64,learning_rate=0.11182,sequence_length=25_2021-02-04_18-32-17"
