showdates,showlengths
1990-10-25,14
1990-10-26,6
1990-10-27,23
1990-10-30,29
1990-10-31,27
1990-11-02,25
1990-11-03,27
1990-11-04,25
1990-11-06,18
1990-11-08,22
1990-11-09,8
1990-11-10,22
1990-11-15,21
1990-11-16,21
1990-11-17,27
1990-11-24,25
1990-11-26,26
1990-11-28,22
1990-11-30,24
1990-12-01,19
1990-12-02,23
1990-12-07,25
1990-12-08,25
1990-12-28,26
1990-12-29,22
1990-12-31,22
1991-02-01,19
1991-02-02,19
1991-02-03,21
1991-02-04,28
1991-02-07,27
1991-02-08,24
1991-02-09,28
1991-02-14,25
1991-02-15,27
1991-02-16,28
1991-02-19,26
1991-02-20,14
1991-02-21,23
1991-02-22,12
1991-02-26,27
1991-02-27,22
1991-02-28,24
1991-03-01,27
1991-03-06,14
1991-03-07,14
1991-03-08,13
1991-03-09,24
1991-03-13,25
1991-03-15,23
1991-03-16,26
1991-03-17,22
1991-03-22,28
1991-03-23,23
1991-03-28,18
1991-03-29,21
1991-03-31,23
1991-04-02,20
1991-04-03,23
1991-04-04,26
1991-04-05,23
1991-04-06,26
1991-04-11,31
1991-04-12,22
1991-04-13,15
1991-04-15,23
1991-04-16,24
1991-04-18,21
1991-04-19,24
1991-04-20,28
1991-04-21,24
1991-04-22,23
1991-04-25,24
1991-04-26,20
1991-04-27,27
1991-05-02,23
1991-05-03,23
1991-05-04,23
1991-05-09,20
1991-05-10,25
1991-05-11,19
1991-05-12,25
1991-05-16,21
1991-05-17,33
1991-05-18,23
1991-05-19,19
1991-07-11,22
1991-07-12,30
1991-07-13,27
1991-07-14,34
1991-07-15,19
1991-07-18,22
1991-07-19,20
1991-07-20,23
1991-07-21,24
1991-07-23,24
1991-07-24,22
1991-07-25,24
1991-07-26,27
1991-07-27,19
1991-08-03,34
1991-09-01,5
1991-09-25,21
1991-09-26,24
1991-09-27,22
1991-09-28,25
1991-09-29,22
1991-09-30,23
1991-10-02,23
1991-10-03,25
1991-10-04,29
1991-10-06,28
1991-10-10,27
1991-10-11,21
1991-10-12,25
1991-10-13,27
1991-10-15,26
1991-10-17,21
1991-10-18,24
1991-10-19,23
1991-10-23,24
1991-10-24,28
1991-10-26,23
1991-10-27,27
1991-10-28,26
1991-10-30,23
1991-10-31,27
1991-11-01,28
1991-11-02,23
1991-11-07,27
1991-11-08,27
1991-11-09,25
1991-11-10,27
1991-11-12,30
1991-11-13,25
1991-11-14,27
1991-11-15,30
1991-11-16,24
1991-11-19,26
1991-11-20,23
1991-11-21,25
1991-11-22,23
1991-11-23,28
1991-11-24,20
1991-11-30,23
1991-12-04,26
1991-12-05,25
1991-12-06,26
1991-12-07,23
1991-12-31,30
1992-01-14,12
1992-03-06,21
1992-03-07,26
1992-03-11,27
1992-03-12,27
1992-03-13,29
1992-03-14,27
1992-03-17,26
1992-03-19,27
1992-03-20,27
1992-03-21,27
1992-03-22,4
1992-03-24,28
1992-03-25,26
1992-03-26,28
1992-03-27,27
1992-03-28,18
1992-03-30,29
1992-03-31,27
1992-04-01,29
1992-04-03,21
1992-04-04,27
1992-04-05,27
1992-04-06,26
1992-04-07,27
1992-04-08,30
1992-04-12,26
1992-04-13,26
1992-04-15,24
1992-04-16,29
1992-04-17,24
1992-04-18,34
1992-04-19,28
1992-04-21,30
1992-04-22,29
1992-04-23,28
1992-04-24,29
1992-04-25,27
1992-04-29,27
1992-04-30,25
1992-05-01,30
1992-05-02,26
1992-05-03,30
1992-05-05,29
1992-05-06,27
1992-05-07,27
1992-05-08,27
1992-05-09,23
1992-05-10,10
1992-05-12,24
1992-05-14,33
1992-05-15,13
1992-05-16,28
1992-05-17,26
1992-05-18,26
1992-06-19,7
1992-06-20,10
1992-06-23,8
1992-06-24,9
1992-06-28,12
1992-06-30,6
1992-07-01,7
1992-07-03,10
1992-07-09,14
1992-07-10,12
1992-07-11,11
1992-07-12,11
1992-07-14,24
1992-07-15,24
1992-07-16,26
1992-07-17,7
1992-07-18,6
1992-07-19,5
1992-07-21,7
1992-07-22,7
1992-07-23,10
1992-07-24,6
1992-07-25,8
1992-07-26,7
1992-07-27,8
1992-07-28,6
1992-07-30,8
1992-07-31,6
1992-08-01,8
1992-08-02,9
1992-08-13,3
1992-08-14,5
1992-08-15,5
1992-08-17,26
1992-08-19,7
1992-08-20,6
1992-08-23,8
1992-08-24,7
1992-08-25,7
1992-08-27,7
1992-08-28,7
1992-08-29,5
1992-08-30,7
1992-10-30,11
1992-11-19,30
1992-11-20,26
1992-11-21,30
1992-11-22,25
1992-11-23,30
1992-11-25,25
1992-11-27,26
1992-11-28,27
1992-11-30,25
1992-12-01,27
1992-12-02,25
1992-12-03,28
1992-12-04,25
1992-12-05,29
1992-12-06,26
1992-12-07,27
1992-12-08,29
1992-12-10,28
1992-12-11,26
1992-12-12,25
1992-12-13,29
1992-12-28,24
1992-12-29,32
1992-12-30,30
1992-12-31,32
1993-01-28,1
1993-02-03,27
1993-02-04,28
1993-02-05,26
1993-02-06,27
1993-02-07,26
1993-02-09,25
1993-02-10,27
1993-02-11,26
1993-02-12,26
1993-02-13,25
1993-02-15,27
1993-02-17,26
1993-02-18,22
1993-02-19,28
1993-02-20,37
1993-02-21,26
1993-02-22,27
1993-02-23,28
1993-02-25,26
1993-02-26,25
1993-02-27,27
1993-03-02,29
1993-03-03,26
1993-03-05,27
1993-03-06,24
1993-03-08,26
1993-03-09,29
1993-03-12,26
1993-03-13,29
1993-03-14,25
1993-03-16,33
1993-03-17,27
1993-03-18,24
1993-03-19,23
1993-03-21,28
1993-03-22,25
1993-03-24,29
1993-03-25,28
1993-03-26,25
1993-03-27,28
1993-03-28,26
1993-03-30,30
1993-03-31,24
1993-04-01,24
1993-04-02,27
1993-04-03,23
1993-04-05,23
1993-04-09,26
1993-04-10,25
1993-04-12,27
1993-04-13,25
1993-04-14,27
1993-04-16,27
1993-04-17,25
1993-04-18,26
1993-04-20,26
1993-04-21,24
1993-04-22,26
1993-04-23,25
1993-04-24,25
1993-04-25,25
1993-04-27,25
1993-04-29,27
1993-04-30,27
1993-05-01,23
1993-05-02,25
1993-05-03,33
1993-05-05,24
1993-05-06,29
1993-05-07,22
1993-05-08,31
1993-05-29,14
1993-05-30,14
1993-07-15,23
1993-07-16,25
1993-07-17,27
1993-07-18,23
1993-07-21,14
1993-07-22,23
1993-07-23,25
1993-07-24,25
1993-07-25,25
1993-07-27,9
1993-07-28,24
1993-07-29,22
1993-07-30,22
1993-07-31,23
1993-08-02,25
1993-08-03,23
1993-08-06,25
1993-08-07,25
1993-08-08,26
1993-08-09,20
1993-08-11,22
1993-08-12,24
1993-08-13,20
1993-08-14,26
1993-08-15,22
1993-08-16,21
1993-08-17,22
1993-08-20,22
1993-08-21,27
1993-08-24,27
1993-08-25,22
1993-08-26,20
1993-08-28,26
1993-12-28,21
1993-12-29,24
1993-12-30,22
1993-12-31,29
1994-04-04,22
1994-04-05,19
1994-04-06,21
1994-04-08,24
1994-04-09,23
1994-04-10,19
1994-04-11,21
1994-04-13,3
1994-04-14,19
1994-04-15,22
1994-04-16,20
1994-04-17,21
1994-04-18,26
1994-04-20,19
1994-04-21,22
1994-04-22,23
1994-04-23,21
1994-04-24,21
1994-04-25,22
1994-04-26,6
1994-04-28,13
1994-04-29,25
1994-04-30,22
1994-05-02,20
1994-05-03,20
1994-05-04,21
1994-05-06,22
1994-05-07,24
1994-05-08,19
1994-05-10,20
1994-05-12,25
1994-05-13,20
1994-05-14,21
1994-05-16,23
1994-05-17,23
1994-05-19,24
1994-05-20,18
1994-05-21,21
1994-05-22,21
1994-05-23,20
1994-05-25,24
1994-05-26,20
1994-05-27,24
1994-05-28,19
1994-05-29,24
1994-06-09,20
1994-06-10,22
1994-06-11,18
1994-06-13,23
1994-06-14,26
1994-06-16,26
1994-06-17,26
1994-06-18,22
1994-06-19,18
1994-06-21,22
1994-06-22,31
1994-06-23,20
1994-06-24,25
1994-06-25,22
1994-06-26,27
1994-06-29,22
1994-06-30,28
1994-07-01,24
1994-07-02,22
1994-07-03,23
1994-07-05,23
1994-07-06,23
1994-07-08,24
1994-07-09,22
1994-07-10,23
1994-07-13,26
1994-07-14,23
1994-07-15,22
1994-07-16,23
1994-10-07,21
1994-10-08,24
1994-10-09,17
1994-10-10,24
1994-10-12,20
1994-10-13,22
1994-10-14,24
1994-10-15,21
1994-10-16,21
1994-10-18,21
1994-10-20,20
1994-10-21,23
1994-10-22,21
1994-10-23,24
1994-10-25,24
1994-10-26,25
1994-10-27,22
1994-10-28,24
1994-10-29,24
1994-10-31,51
1994-11-02,18
1994-11-03,23
1994-11-04,22
1994-11-12,21
1994-11-13,20
1994-11-14,20
1994-11-16,20
1994-11-17,27
1994-11-18,20
1994-11-19,23
1994-11-20,24
1994-11-22,23
1994-11-23,21
1994-11-25,18
1994-11-26,16
1994-11-28,18
1994-11-30,25
1994-12-01,20
1994-12-02,17
1994-12-03,20
1994-12-04,20
1994-12-06,23
1994-12-07,18
1994-12-08,21
1994-12-09,22
1994-12-10,23
1994-12-28,22
1994-12-29,20
1994-12-30,1
1994-12-31,27
1995-05-14,11
1995-05-16,16
1995-06-07,22
1995-06-08,18
1995-06-09,18
1995-06-10,20
1995-06-13,21
1995-06-14,20
1995-06-15,20
1995-06-16,16
1995-06-17,21
1995-06-19,19
1995-06-20,22
1995-06-22,16
1995-06-23,17
1995-06-24,20
1995-06-25,21
1995-06-26,18
1995-06-28,20
1995-06-29,17
1995-06-30,23
1995-07-01,19
1995-07-02,20
1995-07-03,23
1995-07-13,1
1995-09-27,18
1995-09-28,18
1995-09-29,19
1995-09-30,21
1995-10-02,21
1995-10-03,21
1995-10-05,21
1995-10-06,20
1995-10-07,19
1995-10-08,22
1995-10-11,21
1995-10-13,20
1995-10-14,18
1995-10-15,20
1995-10-17,18
1995-10-19,23
1995-10-20,22
1995-10-21,22
1995-10-22,25
1995-10-24,22
1995-10-25,20
1995-10-27,20
1995-10-28,18
1995-10-29,23
1995-10-31,30
1995-11-09,19
1995-11-10,19
1995-11-11,24
1995-11-12,21
1995-11-14,22
1995-11-15,18
1995-11-16,22
1995-11-18,19
1995-11-19,20
1995-11-21,24
1995-11-22,18
1995-11-24,23
1995-11-25,23
1995-11-28,22
1995-11-29,21
1995-11-30,19
1995-12-01,21
1995-12-02,20
1995-12-04,22
1995-12-05,18
1995-12-07,22
1995-12-08,20
1995-12-09,19
1995-12-11,22
1995-12-12,17
1995-12-14,19
1995-12-15,22
1995-12-16,18
1995-12-17,19
1995-12-28,19
1995-12-29,21
1995-12-30,22
1995-12-31,26
1996-04-26,15
1996-06-06,20
1996-07-03,5
1996-07-05,7
1996-07-06,6
1996-07-07,10
1996-07-09,7
1996-07-10,7
1996-07-11,19
1996-07-12,25
1996-07-13,10
1996-07-15,20
1996-07-17,5
1996-07-18,7
1996-07-19,6
1996-07-21,24
1996-07-22,8
1996-07-23,20
1996-07-24,5
1996-07-25,8
1996-08-02,21
1996-08-04,18
1996-08-05,23
1996-08-06,20
1996-08-07,22
1996-08-10,23
1996-08-12,20
1996-08-13,23
1996-08-14,23
1996-08-15,4
1996-08-16,30
1996-08-17,26
1996-10-16,23
1996-10-17,19
1996-10-18,17
1996-10-19,21
1996-10-21,22
1996-10-22,20
1996-10-23,18
1996-10-25,23
1996-10-26,17
1996-10-27,22
1996-10-29,22
1996-10-31,27
1996-11-02,16
1996-11-03,18
1996-11-06,19
1996-11-07,17
1996-11-08,18
1996-11-09,18
1996-11-11,22
1996-11-12,1
1996-11-13,17
1996-11-14,21
1996-11-15,23
1996-11-16,21
1996-11-18,21
1996-11-19,17
1996-11-22,21
1996-11-23,20
1996-11-24,20
1996-11-27,19
1996-11-29,20
1996-11-30,22
1996-12-01,23
1996-12-02,17
1996-12-03,1
1996-12-04,21
1996-12-06,25
1996-12-28,20
1996-12-29,22
1996-12-30,18
1996-12-31,27
1997-02-13,25
1997-02-14,19
1997-02-16,23
1997-02-17,19
1997-02-18,20
1997-02-20,23
1997-02-21,16
1997-02-22,19
1997-02-23,21
1997-02-25,20
1997-02-26,4
1997-02-28,20
1997-03-01,20
1997-03-02,23
1997-03-05,1
1997-03-18,22
1997-05-18,1
1997-06-06,28
1997-06-13,19
1997-06-14,20
1997-06-16,19
1997-06-19,19
1997-06-20,18
1997-06-21,16
1997-06-22,10
1997-06-24,20
1997-06-25,22
1997-06-27,8
1997-06-29,8
1997-07-01,17
1997-07-02,14
1997-07-03,15
1997-07-05,15
1997-07-06,15
1997-07-09,15
1997-07-10,15
1997-07-11,8
1997-07-21,16
1997-07-22,16
1997-07-23,17
1997-07-25,14
1997-07-26,19
1997-07-29,18
1997-07-30,19
1997-07-31,17
1997-08-02,16
1997-08-03,19
1997-08-06,16
1997-08-08,15
1997-08-09,20
1997-08-10,16
1997-08-11,15
1997-08-13,21
1997-08-14,21
1997-08-16,26
1997-08-17,27
1997-11-07,2
1997-11-13,17
1997-11-14,13
1997-11-16,17
1997-11-17,12
1997-11-19,15
1997-11-21,13
1997-11-22,15
1997-11-23,15
1997-11-26,19
1997-11-28,14
1997-11-29,20
1997-11-30,14
1997-12-01,1
1997-12-02,18
1997-12-03,14
1997-12-05,18
1997-12-06,16
1997-12-07,19
1997-12-09,17
1997-12-11,14
1997-12-12,18
1997-12-13,21
1997-12-28,21
1997-12-29,18
1997-12-30,21
1997-12-31,24
1998-04-02,18
1998-04-03,16
1998-04-04,15
1998-04-05,17
1998-06-29,2
1998-06-30,26
1998-07-01,15
1998-07-02,16
1998-07-03,11
1998-07-05,16
1998-07-06,16
1998-07-08,15
1998-07-09,17
1998-07-10,14
1998-07-15,23
1998-07-16,15
1998-07-17,13
1998-07-19,18
1998-07-20,19
1998-07-21,18
1998-07-24,16
1998-07-25,17
1998-07-26,15
1998-07-28,20
1998-07-29,18
1998-07-31,18
1998-08-01,22
1998-08-02,17
1998-08-03,19
1998-08-06,23
1998-08-07,18
1998-08-08,16
1998-08-09,20
1998-08-11,18
1998-08-12,17
1998-08-14,6
1998-08-15,31
1998-08-16,31
1998-10-03,10
1998-10-15,20
1998-10-17,10
1998-10-18,12
1998-10-20,11
1998-10-27,1
1998-10-29,18
1998-10-30,19
1998-10-31,25
1998-11-02,25
1998-11-03,4
1998-11-04,16
1998-11-06,18
1998-11-07,16
1998-11-08,18
1998-11-09,19
1998-11-11,17
1998-11-13,19
1998-11-14,21
1998-11-15,16
1998-11-18,20
1998-11-19,18
1998-11-20,24
1998-11-21,23
1998-11-24,17
1998-11-25,20
1998-11-27,30
1998-11-28,19
1998-11-29,21
1998-12-28,17
1998-12-29,16
1998-12-30,19
1998-12-31,21
1999-05-17,2
1999-06-24,13
1999-06-30,20
1999-07-01,14
1999-07-03,21
1999-07-04,22
1999-07-07,19
1999-07-08,19
1999-07-09,16
1999-07-10,15
1999-07-12,14
1999-07-13,16
1999-07-15,18
1999-07-16,18
1999-07-17,20
1999-07-18,28
1999-07-20,17
1999-07-21,18
1999-07-23,16
1999-07-24,20
1999-07-25,19
1999-07-26,19
1999-07-29,1
1999-07-30,7
1999-07-31,17
1999-08-01,21
1999-09-04,6
1999-09-09,22
1999-09-10,18
1999-09-11,16
1999-09-12,16
1999-09-14,18
1999-09-16,23
1999-09-17,20
1999-09-18,16
1999-09-19,16
1999-09-21,19
1999-09-22,19
1999-09-24,18
1999-09-25,17
1999-09-26,19
1999-09-28,17
1999-09-29,22
1999-10-01,18
1999-10-02,17
1999-10-03,22
1999-10-04,17
1999-10-07,21
1999-10-08,15
1999-10-09,14
1999-10-10,15
1999-12-02,17
1999-12-03,14
1999-12-04,18
1999-12-05,22
1999-12-07,18
1999-12-08,17
1999-12-10,20
1999-12-11,14
1999-12-12,14
1999-12-13,16
1999-12-15,16
1999-12-16,17
1999-12-17,18
1999-12-18,21
1999-12-29,7
1999-12-30,33
1999-12-31,51
2000-05-15,9
2000-05-16,1
2000-05-18,9
2000-05-19,12
2000-05-21,17
2000-05-22,17
2000-05-23,22
2000-06-09,17
2000-06-10,17
2000-06-11,18
2000-06-13,21
2000-06-14,15
2000-06-15,14
2000-06-16,19
2000-06-22,20
2000-06-23,17
2000-06-24,18
2000-06-25,19
2000-06-27,1
2000-06-28,15
2000-06-29,16
2000-06-30,20
2000-07-01,22
2000-07-03,18
2000-07-04,18
2000-07-06,20
2000-07-07,19
2000-07-08,20
2000-07-10,18
2000-07-11,28
2000-07-12,15
2000-07-14,22
2000-07-15,17
2000-07-17,20
2000-09-08,20
2000-09-09,17
2000-09-11,15
2000-09-12,18
2000-09-14,15
2000-09-15,15
2000-09-17,16
2000-09-18,16
2000-09-20,19
2000-09-22,17
2000-09-23,15
2000-09-24,21
2000-09-25,18
2000-09-27,18
2000-09-29,17
2000-09-30,18
2000-10-01,18
2000-10-03,1
2000-10-04,15
2000-10-05,18
2000-10-06,20
2000-10-07,16
2001-12-01,3
2002-12-14,2
2002-12-19,1
2002-12-31,24
2003-01-02,18
2003-01-03,15
2003-01-04,18
2003-02-14,17
2003-02-15,14
2003-02-16,17
2003-02-18,19
2003-02-20,15
2003-02-21,16
2003-02-22,15
2003-02-24,16
2003-02-25,17
2003-02-26,19
2003-02-28,16
2003-03-01,21
2003-06-11,1
2003-07-06,3
2003-07-07,17
2003-07-08,17
2003-07-09,14
2003-07-10,16
2003-07-12,17
2003-07-13,16
2003-07-15,23
2003-07-17,18
2003-07-18,18
2003-07-19,17
2003-07-21,20
2003-07-22,15
2003-07-23,16
2003-07-25,17
2003-07-26,18
2003-07-27,16
2003-07-29,21
2003-07-30,14
2003-07-31,17
2003-08-01,3
2003-08-02,27
2003-08-03,22
2003-11-28,19
2003-11-29,17
2003-12-01,15
2003-12-02,22
2003-12-28,20
2003-12-29,16
2003-12-30,20
2003-12-31,26
2004-03-13,1
2004-04-11,2
2004-04-15,22
2004-04-16,24
2004-04-17,19
2004-06-17,21
2004-06-18,18
2004-06-19,13
2004-06-20,14
2004-06-21,7
2004-06-23,17
2004-06-24,15
2004-06-25,18
2004-06-26,15
2004-08-09,16
2004-08-10,16
2004-08-11,21
2004-08-12,18
2004-08-13,4
2004-08-14,23
2004-08-15,24
2008-09-06,3
2009-03-06,28
2009-03-07,27
2009-03-08,30
2009-05-31,24
2009-06-02,19
2009-06-04,17
2009-06-05,19
2009-06-06,20
2009-06-07,23
2009-06-09,21
2009-06-10,22
2009-06-11,1
2009-06-12,20
2009-06-14,24
2009-06-16,24
2009-06-18,25
2009-06-19,22
2009-06-20,22
2009-06-21,23
2009-07-30,20
2009-07-31,18
2009-08-01,17
2009-08-02,23
2009-08-05,21
2009-08-07,17
2009-08-08,21
2009-08-11,20
2009-08-13,23
2009-08-14,22
2009-08-15,22
2009-08-16,24
2009-10-29,10
2009-10-30,22
2009-10-31,33
2009-11-01,41
2009-11-18,24
2009-11-20,19
2009-11-21,22
2009-11-22,24
2009-11-24,20
2009-11-25,18
2009-11-27,24
2009-11-28,20
2009-11-29,25
2009-12-02,23
2009-12-03,19
2009-12-04,23
2009-12-05,23
2009-12-28,22
2009-12-29,21
2009-12-30,24
2009-12-31,30
2010-03-15,2
2010-05-13,2
2010-06-11,20
2010-06-12,20
2010-06-13,19
2010-06-15,23
2010-06-17,22
2010-06-18,21
2010-06-19,21
2010-06-20,21
2010-06-22,20
2010-06-24,22
2010-06-25,23
2010-06-26,23
2010-06-27,21
2010-06-29,20
2010-07-01,21
2010-07-02,19
2010-07-03,24
2010-07-04,23
2010-08-05,20
2010-08-06,18
2010-08-07,20
2010-08-09,21
2010-08-10,22
2010-08-12,26
2010-08-13,23
2010-08-14,24
2010-08-15,21
2010-08-17,21
2010-08-18,23
2010-10-08,14
2010-10-10,23
2010-10-11,21
2010-10-12,20
2010-10-15,28
2010-10-16,21
2010-10-19,24
2010-10-20,23
2010-10-22,22
2010-10-23,24
2010-10-24,22
2010-10-26,27
2010-10-29,25
2010-10-30,30
2010-10-31,37
2010-12-27,22
2010-12-28,21
2010-12-30,24
2010-12-31,29
2011-01-01,19
2011-05-26,1
2011-05-27,21
2011-05-28,20
2011-05-29,23
2011-05-31,17
2011-06-01,20
2011-06-03,17
2011-06-04,21
2011-06-05,20
2011-06-07,18
2011-06-08,24
2011-06-10,24
2011-06-11,26
2011-06-12,25
2011-06-14,21
2011-06-15,22
2011-06-17,25
2011-06-18,22
2011-06-19,22
2011-06-30,6
2011-07-01,26
2011-07-02,45
2011-07-03,26
2011-08-05,21
2011-08-06,24
2011-08-08,27
2011-08-09,22
2011-08-10,23
2011-08-12,27
2011-08-15,24
2011-08-16,23
2011-08-17,27
2011-09-02,26
2011-09-03,22
2011-09-04,23
2011-09-14,21
2011-12-28,22
2011-12-29,20
2011-12-30,23
2011-12-31,28
2012-06-07,21
2012-06-08,20
2012-06-10,26
2012-06-15,23
2012-06-16,24
2012-06-17,23
2012-06-19,26
2012-06-20,24
2012-06-22,23
2012-06-23,19
2012-06-24,25
2012-06-28,25
2012-06-29,24
2012-06-30,27
2012-07-01,23
2012-07-03,24
2012-07-04,33
2012-07-06,27
2012-07-07,27
2012-07-08,27
2012-08-15,18
2012-08-17,21
2012-08-18,28
2012-08-19,24
2012-08-22,22
2012-08-24,24
2012-08-25,21
2012-08-26,26
2012-08-28,23
2012-08-29,24
2012-08-31,15
2012-09-01,23
2012-09-02,21
2012-12-28,18
2012-12-29,21
2012-12-30,18
2012-12-31,30
2013-07-03,20
2013-07-05,20
2013-07-06,20
2013-07-07,17
2013-07-10,21
2013-07-12,22
2013-07-13,19
2013-07-14,18
2013-07-16,24
2013-07-17,23
2013-07-19,12
2013-07-20,29
2013-07-21,16
2013-07-22,24
2013-07-26,24
2013-07-27,21
2013-07-30,21
2013-07-31,19
2013-08-02,22
2013-08-03,29
2013-08-04,24
2013-08-05,20
2013-08-30,23
2013-08-31,24
2013-09-01,25
2013-10-18,23
2013-10-19,21
2013-10-20,19
2013-10-22,22
2013-10-23,21
2013-10-25,24
2013-10-26,19
2013-10-27,21
2013-10-29,19
2013-10-31,31
2013-11-01,21
2013-11-02,23
2013-12-28,22
2013-12-29,17
2013-12-30,20
2013-12-31,26
2014-04-26,22
2014-06-24,1
2014-07-01,19
2014-07-03,21
2014-07-04,19
2014-07-05,20
2014-07-08,22
2014-07-09,22
2014-07-11,18
2014-07-12,21
2014-07-13,18
2014-07-14,2
2014-07-15,20
2014-07-16,25
2014-07-18,21
2014-07-19,23
2014-07-20,19
2014-07-25,22
2014-07-26,21
2014-07-27,33
2014-07-29,24
2014-07-30,21
2014-08-01,24
2014-08-02,24
2014-08-03,22
2014-08-29,21
2014-08-30,24
2014-08-31,25
