Set,Song,date,show,gap,realGap,tour
Set 1,Chalk Dust Torture,2009-05-31,1303,3,86,115
Set 1,Ocelot,2009-05-31,1303,0,0,115
Set 1,Stash,2009-05-31,1303,3,86,115
Set 1,Bouncing Around the Room,2009-05-31,1303,3,86,115
Set 1,Poor Heart,2009-05-31,1303,5,1751,115
Set 1,Limb By Limb,2009-05-31,1303,2,85,115
Set 1,Wading in the Velvet Sea,2009-05-31,1303,1,84,115
Set 1,Down with Disease,2009-05-31,1303,1,84,115
Set 1,Destiny Unbound,2009-05-31,1303,58,2284,115
Set 1,Character Zero,2009-05-31,1303,2,85,115
Set 2,Tweezer,2009-05-31,1303,3,86,115
Set 2,Light,2009-05-31,1303,0,0,115
Set 2,Bathtub Gin,2009-05-31,1303,1,84,115
Set 2,David Bowie,2009-05-31,1303,3,86,115
Set 2,Time Turns Elastic,2009-05-31,1303,0,0,115
Set 2,Free,2009-05-31,1303,1,84,115
Set 2,The Ballad of Curtis Loew,2009-05-31,1303,130,3441,115
Set 2,You Enjoy Myself,2009-05-31,1303,3,86,115
Encore,Cavern,2009-05-31,1303,7,1753,115
Encore,Good Times Bad Times,2009-05-31,1303,16,1806,115
Encore,Tweezer Reprise,2009-05-31,1303,1,84,115
Set 1,Runaway Jim,2009-06-02,1304,2,87,115
Set 1,Foam,2009-06-02,1304,2,86,115
Set 1,Stealing Time From the Faulty Plan,2009-06-02,1304,0,0,115
Set 1,Timber (Jerry The Mule),2009-06-02,1304,9,1756,115
Set 1,Cities,2009-06-02,1304,14,1804,115
Set 1,Driver,2009-06-02,1304,46,2145,115
Set 1,Reba,2009-06-02,1304,3,87,115
Set 1,Possum,2009-06-02,1304,4,88,115
Set 1,Farmhouse,2009-06-02,1304,4,88,115
Set 1,If I Could,2009-06-02,1304,109,3261,115
Set 2,Mike's Song,2009-06-02,1304,3,87,115
Set 2,Simple,2009-06-02,1304,5,1752,115
Set 2,Wolfman's Brother,2009-06-02,1304,3,87,115
Set 2,Weekapaug Groove,2009-06-02,1304,3,87,115
Set 2,When the Circus Comes,2009-06-02,1304,39,2135,115
Set 2,Kill Devil Falls,2009-06-02,1304,0,0,115
Set 2,Harry Hood,2009-06-02,1304,4,88,115
Set 2,Loving Cup,2009-06-02,1304,4,88,115
Encore,Suzy Greenberg,2009-06-02,1304,4,88,115
Set 1,Grind,2009-06-04,1305,4,90,115
Set 1,Divided Sky,2009-06-04,1305,5,90,115
Set 1,Ocelot,2009-06-04,1305,2,4,115
Set 1,The Squirming Coil,2009-06-04,1305,5,90,115
Set 1,Punch You in the Eye,2009-06-04,1305,4,89,115
Set 1,Dirt,2009-06-04,1305,33,2014,115
Set 1,NICU,2009-06-04,1305,5,90,115
Set 1,Ghost,2009-06-04,1305,4,89,115
Set 1,Run Like an Antelope,2009-06-04,1305,4,89,115
Set 2,Water in the Sky,2009-06-04,1305,5,90,115
Set 2,Birds of a Feather,2009-06-04,1305,4,89,115
Set 2,Drowned,2009-06-04,1305,7,1755,115
Set 2,Meatstick,2009-06-04,1305,22,1874,115
Set 2,Time Turns Elastic,2009-06-04,1305,2,4,115
Set 2,Waste,2009-06-04,1305,5,90,115
Set 2,You Enjoy Myself,2009-06-04,1305,2,4,115
Encore,Rock and Roll,2009-06-04,1305,4,89,115
Set 1,Wilson,2009-06-05,1306,3,89,115
Set 1,Buried Alive,2009-06-05,1306,26,1877,115
Set 1,Kill Devil Falls,2009-06-05,1306,2,3,115
Set 1,AC/DC Bag,2009-06-05,1306,4,89,115
Set 1,I Didn't Know,2009-06-05,1306,6,91,115
Set 1,"My Friend, My Friend",2009-06-05,1306,4,89,115
Set 1,Ya Mar,2009-06-05,1306,8,1756,115
Set 1,Theme From the Bottom,2009-06-05,1306,6,91,115
Set 1,Boogie On Reggae Woman,2009-06-05,1306,14,1805,115
Set 1,Split Open and Melt,2009-06-05,1306,5,90,115
Set 2,Down with Disease,2009-06-05,1306,3,5,115
Set 2,Twist,2009-06-05,1306,4,89,115
Set 2,Piper,2009-06-05,1306,5,90,115
Set 2,Backwards Down the Number Line,2009-06-05,1306,6,91,115
Set 2,Free,2009-06-05,1306,3,5,115
Set 2,Twenty Years Later,2009-06-05,1306,0,0,115
Set 2,Also Sprach Zarathustra,2009-06-05,1306,4,89,115
Set 2,Slave to the Traffic Light,2009-06-05,1306,4,89,115
Encore,A Day in the Life,2009-06-05,1306,5,90,115
Set 1,Stealing Time From the Faulty Plan,2009-06-06,1307,2,4,115
Set 1,Nothing,2009-06-06,1307,18,1809,115
Set 1,Back on the Train,2009-06-06,1307,7,91,115
Set 1,Golgi Apparatus,2009-06-06,1307,12,1760,115
Set 1,Sparkle,2009-06-06,1307,34,2014,115
Set 1,Gotta Jibboo,2009-06-06,1307,9,1757,115
Set 1,Lawn Boy,2009-06-06,1307,6,91,115
Set 1,Let Me Lie,2009-06-06,1307,0,0,115
Set 1,Taste,2009-06-06,1307,7,92,115
Set 1,Makisupa Policeman,2009-06-06,1307,13,1761,115
Set 1,Prince Caspian,2009-06-06,1307,6,91,115
Set 2,Seven Below,2009-06-06,1307,5,90,115
Set 2,Fluffhead,2009-06-06,1307,8,92,115
Set 2,Scent of a Mule,2009-06-06,1307,5,90,115
Set 2,Heavy Things,2009-06-06,1307,6,91,115
Set 2,Harry Hood,2009-06-06,1307,3,4,115
Set 2,Possum,2009-06-06,1307,3,4,115
Set 2,Bug,2009-06-06,1307,5,90,115
Encore,Contact,2009-06-06,1307,5,90,115
Encore,Julius,2009-06-06,1307,11,1759,115
Set 1,Chalk Dust Torture,2009-06-07,1308,4,7,115
Set 1,Fee,2009-06-07,1308,43,2140,115
Set 1,Wolfman's Brother,2009-06-07,1308,4,5,115
Set 1,Guyute,2009-06-07,1308,10,1758,115
Set 1,My Sweet One,2009-06-07,1308,23,1815,115
Set 1,46 Days,2009-06-07,1308,10,1758,115
Set 1,The Lizards,2009-06-07,1308,38,2135,115
Set 1,The Wedge,2009-06-07,1308,10,1758,115
Set 1,Strange Design,2009-06-07,1308,26,1878,115
Set 1,Tube,2009-06-07,1308,6,91,115
Set 1,First Tube,2009-06-07,1308,8,93,115
Set 2,Sand,2009-06-07,1308,29,1883,115
Set 2,Suzy Greenberg,2009-06-07,1308,4,5,115
Set 2,Limb By Limb,2009-06-07,1308,5,7,115
Set 2,The Horse,2009-06-07,1308,6,91,115
Set 2,Silent in the Morning,2009-06-07,1308,6,91,115
Set 2,Sugar Shack,2009-06-07,1308,0,0,115
Set 2,Character Zero,2009-06-07,1308,5,7,115
Set 2,Tweezer,2009-06-07,1308,5,7,115
Encore,Joy,2009-06-07,1308,0,0,115
Encore,Bouncing Around the Room,2009-06-07,1308,5,7,115
Encore,Run Like an Antelope,2009-06-07,1308,3,3,115
Encore,Tweezer Reprise,2009-06-07,1308,5,7,115
Set 1,Kill Devil Falls,2009-06-09,1309,2,4,115
Set 1,The Moma Dance,2009-06-09,1309,6,9,115
Set 1,Sample in a Jar,2009-06-09,1309,6,9,115
Set 1,Stash,2009-06-09,1309,6,9,115
Set 1,Dog Faced Boy,2009-06-09,1309,15,1764,115
Set 1,Gumbo,2009-06-09,1309,8,94,115
Set 1,Tube,2009-06-09,1309,1,2,115
Set 1,Lengthwise,2009-06-09,1309,249,3969,115
Set 1,Divided Sky,2009-06-09,1309,4,5,115
Set 1,When the Cactus is in Bloom,2009-06-09,1309,0,0,115
Set 1,Bold As Love,2009-06-09,1309,79,3168,115
Set 2,Backwards Down the Number Line,2009-06-09,1309,3,4,115
Set 2,Ghost,2009-06-09,1309,4,5,115
Set 2,Fast Enough for You,2009-06-09,1309,10,1759,115
Set 2,Halley's Comet,2009-06-09,1309,8,94,115
Set 2,Maze,2009-06-09,1309,7,93,115
Set 2,Alaska,2009-06-09,1309,0,0,115
Set 2,Theme From the Bottom,2009-06-09,1309,3,4,115
Set 2,Golgi Apparatus,2009-06-09,1309,2,3,115
Set 2,Possum,2009-06-09,1309,2,3,115
Encore,Loving Cup,2009-06-09,1309,5,7,115
Set 1,Runaway Jim,2009-06-10,1310,6,8,115
Set 1,Punch You in the Eye,2009-06-10,1310,5,6,115
Set 1,Ocelot,2009-06-10,1310,5,6,115
Set 1,Foam,2009-06-10,1310,6,8,115
Set 1,Train Song,2009-06-10,1310,10,96,115
Set 1,Undermind,2009-06-10,1310,8,94,115
Set 1,Mike's Song,2009-06-10,1310,6,8,115
Set 1,I Am Hydrogen,2009-06-10,1310,9,95,115
Set 1,Weekapaug Groove,2009-06-10,1310,6,8,115
Set 1,The Squirming Coil,2009-06-10,1310,5,6,115
Set 1,Character Zero,2009-06-10,1310,2,3,115
Set 2,Back on the Train,2009-06-10,1310,3,4,115
Set 2,Waves,2009-06-10,1310,15,1764,115
Set 2,A Song I Heard the Ocean Sing,2009-06-10,1310,16,1765,115
Set 2,David Bowie,2009-06-10,1310,7,10,115
Set 2,Army of One,2009-06-10,1310,8,94,115
Set 2,Reba,2009-06-10,1310,6,8,115
Set 2,Hello My Baby,2009-06-10,1310,148,3475,115
Set 2,Julius,2009-06-10,1310,3,4,115
Set 2,Cavern,2009-06-10,1310,7,10,115
Set 2,Harry Hood,2009-06-10,1310,3,4,115
Encore,Frankenstein,2009-06-10,1310,8,94,115
Set 1,AC/DC Bag,2009-06-14,1312,6,9,115
Set 1,NICU,2009-06-14,1312,8,10,115
Set 1,Gotta Jibboo,2009-06-14,1312,6,8,115
Set 1,Punch You in the Eye,2009-06-14,1312,3,4,115
Set 1,Sparkle,2009-06-14,1312,6,8,115
Set 1,Bathtub Gin,2009-06-14,1312,10,14,115
Set 1,Character Zero,2009-06-14,1312,3,4,115
Set 1,Tweezer,2009-06-14,1312,5,7,115
Set 1,The Horse,2009-06-14,1312,5,7,115
Set 1,Silent in the Morning,2009-06-14,1312,5,7,115
Set 1,Run Like an Antelope,2009-06-14,1312,5,7,115
Set 1,Mustang Sally,2009-06-14,1312,1231,7618,115
Set 1,Bobby Jean,2009-06-14,1312,0,0,115
Set 1,Glory Days,2009-06-14,1312,0,0,115
Set 2,Rock and Roll,2009-06-14,1312,8,10,115
Set 2,Light,2009-06-14,1312,10,14,115
Set 2,46 Days,2009-06-14,1312,5,7,115
Set 2,Limb By Limb,2009-06-14,1312,5,7,115
Set 2,Farmhouse,2009-06-14,1312,9,12,115
Set 2,Backwards Down the Number Line,2009-06-14,1312,4,5,115
Set 2,Prince Caspian,2009-06-14,1312,6,8,115
Set 2,First Tube,2009-06-14,1312,5,7,115
Encore,Suzy Greenberg,2009-06-14,1312,5,7,115
Encore,Tweezer Reprise,2009-06-14,1312,5,7,115
Set 1,Kill Devil Falls,2009-06-16,1313,1,4,115
Set 1,Ocelot,2009-06-16,1313,4,6,115
Set 1,Brian and Robert,2009-06-16,1313,13,101,115
Set 1,Sample in a Jar,2009-06-16,1313,5,7,115
Set 1,Rift,2009-06-16,1313,14,102,115
Set 1,Ya Mar,2009-06-16,1313,8,11,115
Set 1,Reba,2009-06-16,1313,4,6,115
Set 1,Train Song,2009-06-16,1313,4,6,115
Set 1,Horn,2009-06-16,1313,14,102,115
Set 1,Possum,2009-06-16,1313,2,4,115
Set 1,Slave to the Traffic Light,2009-06-16,1313,8,11,115
Set 2,Halley's Comet,2009-06-16,1313,5,7,115
Set 2,Runaway Jim,2009-06-16,1313,5,6,115
Set 2,Frankie Says,2009-06-16,1313,39,1997,115
Set 2,Time Turns Elastic,2009-06-16,1313,9,12,115
Set 2,Sleep,2009-06-16,1313,69,2300,115
Set 2,Mike's Song,2009-06-16,1313,4,6,115
Set 2,I Am Hydrogen,2009-06-16,1313,4,6,115
Set 2,Weekapaug Groove,2009-06-16,1313,4,6,115
Set 2,Boogie On Reggae Woman,2009-06-16,1313,8,11,115
Set 2,Character Zero,2009-06-16,1313,1,2,115
Encore,The Star Spangled Banner,2009-06-16,1313,12,16,115
Encore,McGrupp and the Watchful Hosemasters,2009-06-16,1313,49,2149,115
Encore,While My Guitar Gently Weeps,2009-06-16,1313,12,100,115
Set 1,Golgi Apparatus,2009-06-18,1314,2,6,115
Set 1,Chalk Dust Torture,2009-06-18,1314,4,6,115
Set 1,Bouncing Around the Room,2009-06-18,1314,7,11,115
Set 1,Wolfman's Brother,2009-06-18,1314,3,6,115
Set 1,Divided Sky,2009-06-18,1314,3,6,115
Set 1,Heavy Things,2009-06-18,1314,8,12,115
Set 1,Walk Away,2009-06-18,1314,86,3178,115
Set 1,Wilson,2009-06-18,1314,3,6,115
Set 1,Tube,2009-06-18,1314,6,9,115
Set 1,Alaska,2009-06-18,1314,3,6,115
Set 1,David Bowie,2009-06-18,1314,5,8,115
Set 2,Down with Disease,2009-06-18,1314,3,6,115
Set 2,Free,2009-06-18,1314,3,6,115
Set 2,Guyute,2009-06-18,1314,7,11,115
Set 2,Piper,2009-06-18,1314,9,13,115
Set 2,When the Circus Comes,2009-06-18,1314,11,16,115
Set 2,Harry Hood,2009-06-18,1314,3,6,115
Set 2,The Squirming Coil,2009-06-18,1314,5,8,115
Set 2,You Enjoy Myself,2009-06-18,1314,3,6,115
Encore,Grind,2009-06-18,1314,11,14,115
Encore,Hello My Baby,2009-06-18,1314,5,8,115
Encore,Hold Your Head Up,2009-06-18,1314,20,1772,115
Encore,Bike,2009-06-18,1314,102,3201,115
Encore,Hold Your Head Up,2009-06-18,1314,0,0,115
Encore,Loving Cup,2009-06-18,1314,6,9,115
Set 1,Backwards Down the Number Line,2009-06-19,1315,2,5,115
Set 1,AC/DC Bag,2009-06-19,1315,4,5,115
Set 1,Limb By Limb,2009-06-19,1315,3,5,115
Set 1,The Moma Dance,2009-06-19,1315,7,10,115
Set 1,Water in the Sky,2009-06-19,1315,11,15,115
Set 1,Split Open and Melt,2009-06-19,1315,10,14,115
Set 1,Lawn Boy,2009-06-19,1315,9,13,115
Set 1,The Wedge,2009-06-19,1315,8,12,115
Set 1,Stealing Time From the Faulty Plan,2009-06-19,1315,4,7,115
Set 1,The Connection,2009-06-19,1315,0,0,115
Set 1,Ocelot,2009-06-19,1315,2,3,115
Set 1,Fluffhead,2009-06-19,1315,9,13,115
Set 2,A Song I Heard the Ocean Sing,2009-06-19,1315,6,9,115
Set 2,Drowned,2009-06-19,1315,11,15,115
Set 2,Twist,2009-06-19,1315,10,14,115
Set 2,Let Me Lie,2009-06-19,1315,9,13,115
Set 2,Tweezer,2009-06-19,1315,3,5,115
Set 2,Also Sprach Zarathustra,2009-06-19,1315,4,7,115
Set 2,Suzy Greenberg,2009-06-19,1315,3,5,115
Set 2,Possum,2009-06-19,1315,2,3,115
Encore,Sleeping Monkey,2009-06-19,1315,41,2000,115
Encore,Tweezer Reprise,2009-06-19,1315,3,5,115
Set 1,Punch You in the Eye,2009-06-20,1316,3,6,115
Set 1,Runaway Jim,2009-06-20,1316,3,4,115
Set 1,Stash,2009-06-20,1316,5,8,115
Set 1,Ya Mar,2009-06-20,1316,3,4,115
Set 1,Bathtub Gin,2009-06-20,1316,4,6,115
Set 1,Kill Devil Falls,2009-06-20,1316,4,4,115
Set 1,Train Song,2009-06-20,1316,3,4,115
Set 1,Farmhouse,2009-06-20,1316,4,6,115
Set 1,Sparkle,2009-06-20,1316,4,6,115
Set 1,Run Like an Antelope,2009-06-20,1316,4,6,115
Set 2,Waves,2009-06-20,1316,7,10,115
Set 2,Sample in a Jar,2009-06-20,1316,3,4,115
Set 2,Maze,2009-06-20,1316,8,11,115
Set 2,Makisupa Policeman,2009-06-20,1316,10,14,115
Set 2,Ghost,2009-06-20,1316,8,11,115
Set 2,The Lizards,2009-06-20,1316,9,13,115
Set 2,You Enjoy Myself,2009-06-20,1316,2,2,115
Set 2,NICU,2009-06-20,1316,4,6,115
Set 2,Prince Caspian,2009-06-20,1316,4,6,115
Set 2,Waste,2009-06-20,1316,12,16,115
Set 2,Fire,2009-06-20,1316,19,1771,115
Encore,Character Zero,2009-06-20,1316,3,4,115
Set 1,Brother,2009-06-21,1317,48,2150,115
Set 1,Wolfman's Brother,2009-06-21,1317,3,3,115
Set 1,Funky Bitch,2009-06-21,1317,26,1821,115
Set 1,Divided Sky,2009-06-21,1317,3,3,115
Set 1,Joy,2009-06-21,1317,10,14,115
Set 1,Back on the Train,2009-06-21,1317,8,11,115
Set 1,Taste,2009-06-21,1317,11,15,115
Set 1,Poor Heart,2009-06-21,1317,6,9,115
Set 1,The Horse,2009-06-21,1317,5,7,115
Set 1,Silent in the Morning,2009-06-21,1317,5,7,115
Set 1,The Man Who Stepped Into Yesterday,2009-06-21,1317,69,2176,115
Set 1,Avenu Malkenu,2009-06-21,1317,69,2176,115
Set 1,The Man Who Stepped Into Yesterday,2009-06-21,1317,0,0,115
Set 1,Time Turns Elastic,2009-06-21,1317,4,5,115
Set 2,Crosseyed and Painless,2009-06-21,1317,29,1824,115
Set 2,Down with Disease,2009-06-21,1317,3,3,115
Set 2,Bug,2009-06-21,1317,11,15,115
Set 2,Piper,2009-06-21,1317,3,3,115
Set 2,Wading in the Velvet Sea,2009-06-21,1317,6,9,115
Set 2,Boogie On Reggae Woman,2009-06-21,1317,4,5,115
Set 2,Slave to the Traffic Light,2009-06-21,1317,4,5,115
Encore,Grind,2009-06-21,1317,3,3,115
Encore,Frankenstein,2009-06-21,1317,8,11,115
Set 1,Divided Sky,2009-07-30,1318,0,39,116
Set 1,Ocelot,2009-07-30,1318,3,41,116
Set 1,The Wedge,2009-07-30,1318,3,41,116
Set 1,Poor Heart,2009-07-30,1318,1,39,116
Set 1,The Moma Dance,2009-07-30,1318,3,41,116
Set 1,Horn,2009-07-30,1318,5,44,116
Set 1,Stash,2009-07-30,1318,2,40,116
Set 1,The Horse,2009-07-30,1318,1,39,116
Set 1,Silent in the Morning,2009-07-30,1318,1,39,116
Set 1,Possum,2009-07-30,1318,3,41,116
Set 2,Mike's Song,2009-07-30,1318,5,44,116
Set 2,I Am Hydrogen,2009-07-30,1318,5,44,116
Set 2,Weekapaug Groove,2009-07-30,1318,5,44,116
Set 2,Ghost,2009-07-30,1318,2,40,116
Set 2,Wolfman's Brother,2009-07-30,1318,1,39,116
Set 2,Limb By Limb,2009-07-30,1318,3,41,116
Set 2,Billy Breathes,2009-07-30,1318,58,2199,116
Set 2,The Squirming Coil,2009-07-30,1318,4,42,116
Set 2,David Bowie,2009-07-30,1318,4,42,116
Encore,Loving Cup,2009-07-30,1318,4,42,116
Set 1,Runaway Jim,2009-07-31,1319,2,41,116
Set 1,Chalk Dust Torture,2009-07-31,1319,5,43,116
Set 1,Bathtub Gin,2009-07-31,1319,3,41,116
Set 1,Time Turns Elastic,2009-07-31,1319,2,40,116
Set 1,Lawn Boy,2009-07-31,1319,4,42,116
Set 1,Water in the Sky,2009-07-31,1319,4,42,116
Set 1,Stealing Time From the Faulty Plan,2009-07-31,1319,4,42,116
Set 1,Split Open and Melt,2009-07-31,1319,4,42,116
Set 2,Drowned,2009-07-31,1319,4,42,116
Set 2,Crosseyed and Painless,2009-07-31,1319,2,40,116
Set 2,Joy,2009-07-31,1319,2,40,116
Set 2,Tweezer,2009-07-31,1319,4,42,116
Set 2,Backwards Down the Number Line,2009-07-31,1319,5,42,116
Set 2,Fluffhead,2009-07-31,1319,4,42,116
Set 2,Piper,2009-07-31,1319,2,40,116
Set 2,A Day in the Life,2009-07-31,1319,8,49,116
Encore,Suzy Greenberg,2009-07-31,1319,4,42,116
Encore,Tweezer Reprise,2009-07-31,1319,4,42,116
Set 1,AC/DC Bag,2009-08-01,1320,4,43,116
Set 1,The Curtain With,2009-08-01,1320,22,1812,116
Set 1,Mound,2009-08-01,1320,383,4638,116
Set 1,Gotta Jibboo,2009-08-01,1320,8,48,116
Set 1,Guyute,2009-08-01,1320,6,44,116
Set 1,Punch You in the Eye,2009-08-01,1320,5,42,116
Set 1,Tube,2009-08-01,1320,6,44,116
Set 1,Alaska,2009-08-01,1320,6,44,116
Set 1,Run Like an Antelope,2009-08-01,1320,4,42,116
Set 2,Rock and Roll,2009-08-01,1320,8,48,116
Set 2,Down with Disease,2009-08-01,1320,3,41,116
Set 2,Free,2009-08-01,1320,6,44,116
Set 2,Esther,2009-08-01,1320,96,3227,116
Set 2,Dirt,2009-08-01,1320,16,58,116
Set 2,Harry Hood,2009-08-01,1320,6,44,116
Encore,Sleeping Monkey,2009-08-01,1320,5,43,116
Encore,First Tube,2009-08-01,1320,8,48,116
Set 1,Roses Are Free,2009-08-02,1321,30,1864,116
Set 1,Wilson,2009-08-02,1321,7,45,116
Set 1,NICU,2009-08-02,1321,5,43,116
Set 1,Prince Caspian,2009-08-02,1321,5,43,116
Set 1,Back on the Train,2009-08-02,1321,4,42,116
Set 1,Reba,2009-08-02,1321,8,47,116
Set 1,Grind,2009-08-02,1321,4,42,116
Set 1,Beauty of a Broken Heart,2009-08-02,1321,21,148,116
Set 1,Sample in a Jar,2009-08-02,1321,5,43,116
Set 1,Sugar Shack,2009-08-02,1321,14,56,116
Set 1,Waste,2009-08-02,1321,5,43,116
Set 1,Kill Devil Falls,2009-08-02,1321,5,43,116
Set 2,Boogie On Reggae Woman,2009-08-02,1321,4,42,116
Set 2,You Enjoy Myself,2009-08-02,1321,5,43,116
Set 2,Undermind,2009-08-02,1321,12,53,116
Set 2,Drums,2009-08-02,1321,27,1817,116
Set 2,Seven Below,2009-08-02,1321,15,57,116
Set 2,Also Sprach Zarathustra,2009-08-02,1321,6,44,116
Set 2,Waves,2009-08-02,1321,5,43,116
Set 2,Character Zero,2009-08-02,1321,5,43,116
Encore,Bittersweet Motel,2009-08-02,1321,57,2196,116
Encore,Bouncing Around the Room,2009-08-02,1321,7,45,116
Encore,Slave to the Traffic Light,2009-08-02,1321,4,42,116
Set 1,Golgi Apparatus,2009-08-05,1322,8,48,116
Set 1,Halley's Comet,2009-08-05,1322,9,50,116
Set 1,Chalk Dust Torture,2009-08-05,1322,3,5,116
Set 1,Divided Sky,2009-08-05,1322,5,6,116
Set 1,When the Circus Comes,2009-08-05,1322,8,48,116
Set 1,Time Turns Elastic,2009-08-05,1322,3,5,116
Set 1,Ya Mar,2009-08-05,1322,6,46,116
Set 1,Stealing Time From the Faulty Plan,2009-08-05,1322,3,5,116
Set 1,Suzy Greenberg,2009-08-05,1322,3,5,116
Set 1,David Bowie,2009-08-05,1322,4,6,116
Set 2,Backwards Down the Number Line,2009-08-05,1322,3,5,116
Set 2,Down with Disease,2009-08-05,1322,2,4,116
Set 2,Limb By Limb,2009-08-05,1322,4,6,116
Set 2,Oh! Sweet Nuthin',2009-08-05,1322,240,3931,116
Set 2,Cities,2009-08-05,1322,19,64,116
